CMDLINE python mtest_dates_matplotlib.py
MEM 183.054688 1650190121.6568
MEM 199.250000 1650190121.7658
MEM 142.535156 1650190121.8758
MEM 112.476562 1650190121.9858
MEM 120.742188 1650190122.0948
MEM 113.582031 1650190122.2028
MEM 129.656250 1650190122.3118
MEM 138.015625 1650190122.4218
MEM 130.906250 1650190122.5318
MEM 146.851562 1650190122.6408
MEM 154.031250 1650190122.7478
MEM 148.269531 1650190122.8588
MEM 164.039062 1650190122.9678
MEM 171.500000 1650190123.0778
MEM 165.554688 1650190123.1848
MEM 181.722656 1650190123.2938
MEM 181.851562 1650190123.4008
MEM 183.050781 1650190123.5108
MEM 199.226562 1650190123.6198
MEM 192.019531 1650190123.7258
MEM 112.398438 1650190123.8338
MEM 112.511719 1650190123.9438
MEM 113.656250 1650190124.0538
MEM 129.648438 1650190124.1608
MEM 129.656250 1650190124.2688
MEM 130.875000 1650190124.3808
MEM 146.976562 1650190124.4868
MEM 147.074219 1650190124.5948
MEM 148.214844 1650190124.7048
MEM 164.285156 1650190124.8138
MEM 164.453125 1650190124.9218
MEM 165.703125 1650190125.0308
MEM 181.808594 1650190125.1382
MEM 181.921875 1650190125.2482
MEM 183.000000 1650190125.3552
MEM 199.160156 1650190125.4642
MEM 183.792969 1650190125.5742
MEM 112.714844 1650190125.6852
MEM 121.121094 1650190125.7942
MEM 114.250000 1650190125.9012
MEM 130.289062 1650190126.0082
MEM 131.023438 1650190126.1162
MEM 131.785156 1650190126.2222
MEM 147.902344 1650190126.3282
MEM 148.003906 1650190126.4362
MEM 149.210938 1650190126.5432
MEM 165.363281 1650190126.6502
MEM 165.468750 1650190126.7592
MEM 173.906250 1650190126.8672
MEM 181.917969 1650190126.9762
MEM 182.070312 1650190127.0842
MEM 190.730469 1650190127.1932
MEM 199.417969 1650190127.2992
MEM 192.308594 1650190127.4082
MEM 112.843750 1650190127.5162
MEM 112.945312 1650190127.6252
MEM 121.468750 1650190127.7332
MEM 129.902344 1650190127.8422
MEM 130.015625 1650190127.9502
MEM 138.976562 1650190128.0652
MEM 139.000000 1650190128.1672
MEM 147.566406 1650190128.2752
MEM 156.019531 1650190128.3832
MEM 156.234375 1650190128.4912
MEM 165.000000 1650190128.5992
MEM 173.429688 1650190128.7082
MEM 166.906250 1650190128.8152
MEM 182.050781 1650190128.9242
MEM 190.480469 1650190129.0332
MEM 183.417969 1650190129.1402
MEM 199.609375 1650190129.2492
MEM 96.859375 1650190129.3572
MEM 112.972656 1650190129.4632
MEM 121.253906 1650190129.5702
MEM 114.140625 1650190129.6782
MEM 129.945312 1650190129.7872
MEM 138.507812 1650190129.8952
MEM 131.410156 1650190130.0042
MEM 147.296875 1650190130.1132
MEM 155.640625 1650190130.2222
MEM 148.546875 1650190130.3292
MEM 164.722656 1650190130.4372
MEM 173.164062 1650190130.5442
MEM 166.070312 1650190130.6522
MEM 182.257812 1650190130.7592
MEM 182.996094 1650190130.8672
MEM 183.425781 1650190130.9742
MEM 199.621094 1650190131.0812
MEM 192.382812 1650190131.1882
MEM 113.027344 1650190131.2962
MEM 114.097656 1650190131.4042
MEM 114.601562 1650190131.5132
MEM 130.328125 1650190131.6212
MEM 96.152344 1650190131.7292
