CMDLINE python mtest_dates_simpleplots.py
MEM 1.488281 1650190090.4243
MEM 19.355469 1650190090.5383
MEM 29.062500 1650190090.6463
MEM 38.011719 1650190090.7563
MEM 47.648438 1650190090.8643
MEM 83.601562 1650190090.9753
MEM 102.765625 1650190091.0843
MEM 84.859375 1650190091.1943
MEM 92.164062 1650190091.3043
MEM 97.167969 1650190091.4143
MEM 92.195312 1650190091.5243
MEM 84.867188 1650190091.6313
MEM 92.195312 1650190091.7413
MEM 84.867188 1650190091.8503
MEM 67.097656 1650190091.9603
MEM 90.289062 1650190092.0693
MEM 73.511719 1650190092.1763
MEM 96.058594 1650190092.2843
MEM 84.953125 1650190092.3933
MEM 102.804688 1650190092.5033
MEM 84.953125 1650190092.6103
MEM 92.195312 1650190092.7213
MEM 105.675781 1650190092.8303
MEM 92.195312 1650190092.9403
MEM 84.953125 1650190093.0503
MEM 84.867188 1650190093.1609
MEM 86.613281 1650190093.2709
MEM 64.292969 1650190093.3789
MEM 93.261719 1650190093.4879
MEM 84.867188 1650190093.5979
MEM 100.082031 1650190093.7059
MEM 84.867188 1650190093.8149
MEM 92.195312 1650190093.9229
MEM 97.238281 1650190094.0329
MEM 92.195312 1650190094.1419
MEM 111.156250 1650190094.2489
MEM 92.195312 1650190094.3589
MEM 84.953125 1650190094.4659
MEM 92.195312 1650190094.5729
MEM 84.953125 1650190094.6809
MEM 84.867188 1650190094.7879
MEM 86.359375 1650190094.8959
MEM 69.203125 1650190095.0049
MEM 93.515625 1650190095.1130
MEM 84.953125 1650190095.2220
MEM 104.246094 1650190095.3300
MEM 84.867188 1650190095.4380
MEM 92.195312 1650190095.5470
MEM 105.968750 1650190095.6560
MEM 92.195312 1650190095.7640
MEM 84.953125 1650190095.8710
MEM 84.867188 1650190095.9800
MEM 85.265625 1650190096.0890
MEM 63.878906 1650190096.1970
MEM 94.062500 1650190096.3050
MEM 84.746094 1650190096.4120
MEM 100.457031 1650190096.5200
MEM 84.953125 1650190096.6270
MEM 105.992188 1650190096.7330
MEM 94.531250 1650190096.8420
MEM 92.195312 1650190096.9510
MEM 92.886719 1650190097.0590
MEM 92.195312 1650190097.1670
MEM 84.953125 1650190097.2760
MEM 84.867188 1650190097.3850
MEM 88.425781 1650190097.4920
MEM 68.203125 1650190097.6000
MEM 91.972656 1650190097.7070
MEM 84.789062 1650190097.8160
MEM 102.621094 1650190097.9260
MEM 84.882812 1650190098.0350
MEM 92.210938 1650190098.1440
MEM 103.785156 1650190098.2520
MEM 92.210938 1650190098.3620
MEM 84.882812 1650190098.4720
MEM 84.882812 1650190098.5810
MEM 85.863281 1650190098.6900
MEM 67.804688 1650190098.7990
MEM 93.457031 1650190098.9090
MEM 84.968750 1650190099.0180
