CMDLINE python mtest_dates_simpleplots.py
MEM 1.488281 1650189986.3850
MEM 19.355469 1650189986.5000
MEM 28.300781 1650189986.6080
MEM 35.726562 1650189986.7140
MEM 46.105469 1650189986.8210
MEM 83.894531 1650189986.9290
MEM 84.792969 1650189987.0370
MEM 92.183594 1650189987.1450
MEM 88.468750 1650189987.2530
MEM 72.027344 1650189987.3610
MEM 92.183594 1650189987.4690
MEM 94.636719 1650189987.5780
MEM 84.941406 1650189987.6870
MEM 92.183594 1650189987.7960
MEM 102.093750 1650189987.9040
MEM 84.867188 1650189988.0120
MEM 84.867188 1650189988.1200
MEM 92.195312 1650189988.2290
MEM 84.867188 1650189988.3370
MEM 59.355469 1650189988.4440
MEM 92.195312 1650189988.5520
MEM 95.117188 1650189988.6610
MEM 84.285156 1650189988.7690
MEM 92.199219 1650189988.8770
MEM 100.980469 1650189988.9850
MEM 77.871094 1650189989.0950
MEM 92.199219 1650189989.2040
MEM 85.210938 1650189989.3110
MEM 63.042969 1650189989.4200
MEM 92.199219 1650189989.5290
MEM 88.523438 1650189989.6370
MEM 68.531250 1650189989.7450
MEM 92.199219 1650189989.8540
MEM 95.371094 1650189989.9630
MEM 84.871094 1650189990.0710
MEM 92.199219 1650189990.1790
MEM 99.402344 1650189990.2880
MEM 84.957031 1650189990.3960
MEM 84.871094 1650189990.5040
MEM 97.859375 1650189990.6120
MEM 86.718750 1650189990.7210
MEM 72.011719 1650189990.8310
MEM 92.199219 1650189990.9410
MEM 92.113281 1650189991.0494
MEM 75.007812 1650189991.1564
MEM 92.199219 1650189991.2674
MEM 91.699219 1650189991.3734
MEM 84.871094 1650189991.4814
MEM 92.199219 1650189991.5864
MEM 96.066406 1650189991.6934
MEM 84.957031 1650189991.8004
MEM 92.199219 1650189991.9064
MEM 97.617188 1650189992.0124
MEM 84.957031 1650189992.1194
MEM 92.199219 1650189992.2264
MEM 97.050781 1650189992.3324
MEM 84.667969 1650189992.4394
MEM 92.199219 1650189992.5454
MEM 98.750000 1650189992.6524
MEM 84.957031 1650189992.7594
MEM 92.199219 1650189992.8654
MEM 104.875000 1650189992.9724
MEM 84.871094 1650189993.0794
MEM 84.871094 1650189993.1854
MEM 92.199219 1650189993.2914
MEM 87.746094 1650189993.4004
MEM 69.265625 1650189993.5084
MEM 92.199219 1650189993.6154
MEM 93.398438 1650189993.7234
MEM 84.871094 1650189993.8314
MEM 92.199219 1650189993.9404
MEM 101.644531 1650189994.0474
MEM 84.957031 1650189994.1544
MEM 84.871094 1650189994.2624
MEM 103.511719 1650189994.3704
MEM 84.957031 1650189994.4754
MEM 84.871094 1650189994.5824
MEM 92.199219 1650189994.6914
MEM 88.683594 1650189994.7974
MEM 77.171875 1650189994.9054
MEM 92.199219 1650189995.0144
MEM 98.191406 1650189995.1234
MEM 84.957031 1650189995.2324
MEM 92.199219 1650189995.3394
MEM 104.437500 1650189995.4474
MEM 84.871094 1650189995.5564
MEM 66.292969 1650189995.6644
MEM 92.199219 1650189995.7724
MEM 92.820312 1650189995.8814
MEM 84.871094 1650189995.9894
MEM 92.214844 1650189996.0964
MEM 99.671875 1650189996.2024
MEM 84.972656 1650189996.3084
MEM 92.214844 1650189996.4154
MEM 103.222656 1650189996.5224
MEM 84.886719 1650189996.6284
MEM 55.644531 1650189996.7344
MEM 92.214844 1650189996.8414
MEM 87.875000 1650189996.9484
MEM 67.078125 1650189997.0554
MEM 92.214844 1650189997.1634
MEM 92.363281 1650189997.2714
MEM 83.343750 1650189997.3774
MEM 92.214844 1650189997.4844
MEM 96.773438 1650189997.5914
MEM 84.972656 1650189997.6994
MEM 84.886719 1650189997.8094
MEM 106.292969 1650189997.9174
MEM 84.886719 1650189998.0244
MEM 59.980469 1650189998.1324
MEM 92.214844 1650189998.2406
MEM 91.437500 1650189998.3476
MEM 78.359375 1650189998.4536
MEM 92.214844 1650189998.5616
MEM 100.714844 1650189998.6676
MEM 84.972656 1650189998.7746
MEM 84.886719 1650189998.8806
MEM 106.488281 1650189998.9876
MEM 84.902344 1650189999.0936
MEM 66.628906 1650189999.2006
MEM 92.214844 1650189999.3066
MEM 90.515625 1650189999.4126
MEM 75.679688 1650189999.5176
MEM 92.214844 1650189999.6236
MEM 97.140625 1650189999.7296
MEM 84.972656 1650189999.8366
MEM 92.214844 1650189999.9426
MEM 101.726562 1650190000.0496
MEM 84.972656 1650190000.1546
MEM 84.886719 1650190000.2606
MEM 104.367188 1650190000.3686
MEM 84.886719 1650190000.4766
MEM 79.964844 1650190000.5846
MEM 92.214844 1650190000.6926
MEM 89.792969 1650190000.8006
MEM 79.664062 1650190000.9076
MEM 92.214844 1650190001.0156
MEM 95.437500 1650190001.1226
MEM 84.886719 1650190001.2296
MEM 92.214844 1650190001.3366
MEM 98.972656 1650190001.4436
MEM 84.972656 1650190001.5526
MEM 84.886719 1650190001.6626
MEM 92.214844 1650190001.7726
MEM 88.367188 1650190001.8826
MEM 75.375000 1650190001.9906
MEM 92.214844 1650190002.0966
MEM 92.285156 1650190002.2046
MEM 79.015625 1650190002.3126
MEM 92.214844 1650190002.4226
