CMDLINE python mtest_dates_matplotlib.py
MEM 1.488281 1650190022.4361
MEM 17.566406 1650190022.5391
MEM 28.003906 1650190022.6471
MEM 35.125000 1650190022.7541
MEM 43.035156 1650190022.8621
MEM 54.226562 1650190022.9701
MEM 59.730469 1650190023.0801
MEM 63.558594 1650190023.1895
MEM 66.933594 1650190023.2985
MEM 79.277344 1650190023.4055
MEM 105.582031 1650190023.5131
MEM 98.511719 1650190023.6211
MEM 116.304688 1650190023.7271
MEM 116.863281 1650190023.8341
MEM 119.070312 1650190023.9421
MEM 136.304688 1650190024.0511
MEM 136.804688 1650190024.1591
MEM 138.792969 1650190024.2671
MEM 156.144531 1650190024.3751
MEM 156.664062 1650190024.4851
MEM 158.808594 1650190024.5921
MEM 175.992188 1650190024.7001
MEM 176.425781 1650190024.8081
MEM 178.722656 1650190024.9151
MEM 104.437500 1650190025.0231
MEM 104.945312 1650190025.1331
MEM 121.210938 1650190025.2441
MEM 130.210938 1650190025.3531
MEM 123.109375 1650190025.4601
MEM 139.800781 1650190025.5671
MEM 141.492188 1650190025.6761
MEM 141.562500 1650190025.7851
MEM 158.011719 1650190025.8921
MEM 159.816406 1650190026.0001
MEM 160.312500 1650190026.1061
MEM 176.886719 1650190026.2161
MEM 177.000000 1650190026.3231
MEM 186.140625 1650190026.4301
MEM 196.089844 1650190026.5381
MEM 196.714844 1650190026.6481
MEM 198.667969 1650190026.7571
MEM 102.992188 1650190026.8651
MEM 105.109375 1650190026.9741
MEM 121.777344 1650190027.0831
MEM 121.855469 1650190027.1921
MEM 123.839844 1650190027.3011
MEM 140.406250 1650190027.4081
MEM 140.464844 1650190027.5171
MEM 142.453125 1650190027.6251
MEM 159.003906 1650190027.7311
MEM 159.132812 1650190027.8381
MEM 161.148438 1650190027.9451
MEM 177.617188 1650190028.0531
MEM 177.789062 1650190028.1601
MEM 179.839844 1650190028.2681
MEM 196.527344 1650190028.3751
MEM 196.714844 1650190028.4851
MEM 198.683594 1650190028.5941
MEM 104.894531 1650190028.7041
MEM 105.414062 1650190028.8141
MEM 122.082031 1650190028.9241
MEM 123.765625 1650190029.0331
MEM 124.273438 1650190029.1421
MEM 140.886719 1650190029.2521
MEM 148.214844 1650190029.3631
MEM 142.972656 1650190029.4721
MEM 159.652344 1650190029.5801
MEM 167.289062 1650190029.6891
MEM 161.828125 1650190029.7971
MEM 178.503906 1650190029.9051
MEM 178.910156 1650190030.0151
MEM 180.527344 1650190030.1211
MEM 197.144531 1650190030.2301
MEM 197.222656 1650190030.3381
MEM 199.304688 1650190030.4461
MEM 104.128906 1650190030.5531
MEM 105.773438 1650190030.6621
MEM 122.480469 1650190030.7701
MEM 122.539062 1650190030.8781
MEM 124.578125 1650190030.9871
MEM 141.218750 1650190031.0961
MEM 141.285156 1650190031.2041
MEM 143.281250 1650190031.3121
MEM 159.832031 1650190031.4211
MEM 161.433594 1650190031.5291
MEM 161.941406 1650190031.6381
MEM 178.585938 1650190031.7451
MEM 178.691406 1650190031.8531
MEM 180.687500 1650190031.9591
MEM 197.300781 1650190032.0671
MEM 197.425781 1650190032.1751
MEM 199.410156 1650190032.2841
MEM 112.539062 1650190032.3921
MEM 105.738281 1650190032.5021
MEM 122.343750 1650190032.6131
MEM 122.406250 1650190032.7241
MEM 124.519531 1650190032.8331
MEM 141.027344 1650190032.9401
MEM 141.179688 1650190033.0501
MEM 143.187500 1650190033.1611
MEM 159.675781 1650190033.2711
MEM 159.898438 1650190033.3811
MEM 161.792969 1650190033.4911
MEM 178.375000 1650190033.6021
MEM 186.152344 1650190033.7121
MEM 180.519531 1650190033.8221
MEM 197.140625 1650190033.9321
MEM 206.136719 1650190034.0421
MEM 199.062500 1650190034.1501
MEM 113.238281 1650190034.2591
MEM 106.136719 1650190034.3681
MEM 122.750000 1650190034.4781
MEM 131.968750 1650190034.5861
MEM 124.843750 1650190034.6921
MEM 141.445312 1650190034.8011
MEM 150.703125 1650190034.9111
MEM 143.578125 1650190035.0191
MEM 160.183594 1650190035.1281
MEM 169.496094 1650190035.2381
MEM 162.382812 1650190035.3461
MEM 179.085938 1650190035.4561
MEM 188.335938 1650190035.5641
MEM 181.210938 1650190035.6721
MEM 197.835938 1650190035.7821
MEM 206.753906 1650190035.8921
MEM 199.652344 1650190036.0031
MEM 113.242188 1650190036.1101
MEM 113.433594 1650190036.2191
MEM 122.753906 1650190036.3271
MEM 132.058594 1650190036.4381
MEM 132.226562 1650190036.5471
MEM 141.515625 1650190036.6561
MEM 150.695312 1650190036.7651
MEM 150.871094 1650190036.8751
MEM 160.238281 1650190036.9821
MEM 169.523438 1650190037.0911
MEM 169.722656 1650190037.2011
MEM 179.019531 1650190037.3111
MEM 188.171875 1650190037.4211
MEM 188.363281 1650190037.5291
MEM 197.667969 1650190037.6371
MEM 206.867188 1650190037.7461
MEM 199.757812 1650190037.8541
MEM 113.511719 1650190037.9631
MEM 113.699219 1650190038.0731
MEM 123.007812 1650190038.1821
MEM 132.261719 1650190038.2911
MEM 132.414062 1650190038.4001
MEM 141.789062 1650190038.5081
MEM 150.996094 1650190038.6151
MEM 151.160156 1650190038.7221
MEM 160.476562 1650190038.8301
MEM 169.726562 1650190038.9381
MEM 169.925781 1650190039.0441
MEM 179.281250 1650190039.1511
MEM 188.476562 1650190039.2591
MEM 188.738281 1650190039.3681
MEM 197.996094 1650190039.4771
MEM 207.296875 1650190039.5841
MEM 200.183594 1650190039.6921
MEM 113.609375 1650190039.8001
MEM 113.800781 1650190039.9071
MEM 123.066406 1650190040.0141
MEM 132.335938 1650190040.1191
MEM 125.351562 1650190040.2251
