CMDLINE python mtest_matplotlib.py
MEM 1209.472656 1650176396.0425
MEM 1209.472656 1650176396.1536
MEM 1209.687500 1650176396.2655
MEM 1210.871094 1650176396.3755
MEM 1210.871094 1650176396.4855
MEM 1210.871094 1650176396.5975
MEM 1210.871094 1650176396.7085
MEM 1210.871094 1650176396.8195
MEM 1218.609375 1650176396.9315
MEM 1211.339844 1650176397.0425
MEM 1211.339844 1650176397.1545
MEM 1211.339844 1650176397.2645
MEM 1211.339844 1650176397.3765
MEM 1211.339844 1650176397.4885
MEM 1211.339844 1650176397.5995
MEM 1211.339844 1650176397.7115
MEM 1211.339844 1650176397.8215
MEM 1211.339844 1650176397.9315
MEM 1211.339844 1650176398.0435
MEM 1212.140625 1650176398.1546
MEM 1306.750000 1650176398.2645
MEM 1350.113281 1650176398.3755
MEM 1350.113281 1650176398.4845
MEM 1350.113281 1650176398.5955
MEM 1350.113281 1650176398.7075
MEM 1350.332031 1650176398.8185
MEM 1350.332031 1650176398.9305
MEM 1350.332031 1650176399.0415
MEM 1350.332031 1650176399.1515
MEM 1350.332031 1650176399.2625
MEM 1350.335938 1650176399.3735
MEM 1350.718750 1650176399.4845
MEM 1350.750000 1650176399.5955
MEM 1350.750000 1650176399.7056
MEM 1350.750000 1650176399.8165
MEM 1350.750000 1650176399.9265
MEM 1350.750000 1650176400.0375
MEM 1350.750000 1650176400.1485
MEM 1350.750000 1650176400.2595
MEM 1350.750000 1650176400.3705
MEM 1350.750000 1650176400.4825
MEM 1350.750000 1650176400.5935
MEM 1343.667969 1650176400.7045
MEM 740.175781 1650176400.8155
MEM 171.941406 1650176400.9255
MEM 179.621094 1650176401.0375
MEM 234.328125 1650176401.1485
MEM 234.328125 1650176401.2585
MEM 234.328125 1650176401.3696
MEM 234.328125 1650176401.4805
MEM 234.328125 1650176401.5925
MEM 232.429688 1650176401.7025
MEM 235.312500 1650176401.8145
MEM 235.312500 1650176401.9255
MEM 235.312500 1650176402.0356
MEM 235.312500 1650176402.1465
MEM 242.980469 1650176402.2575
MEM 235.761719 1650176402.3685
MEM 235.761719 1650176402.4775
MEM 235.761719 1650176402.5875
MEM 235.761719 1650176402.6986
MEM 235.761719 1650176402.8095
MEM 235.761719 1650176402.9215
MEM 235.761719 1650176403.0315
MEM 235.761719 1650176403.1425
MEM 235.761719 1650176403.2535
MEM 235.761719 1650176403.3625
MEM 235.761719 1650176403.4735
MEM 244.554688 1650176403.5855
MEM 372.050781 1650176403.6955
MEM 375.496094 1650176403.8065
MEM 375.496094 1650176403.9185
MEM 375.496094 1650176404.0285
MEM 375.496094 1650176404.1405
MEM 375.679688 1650176404.2505
MEM 375.687500 1650176404.3615
MEM 375.687500 1650176404.4725
MEM 375.687500 1650176404.5835
MEM 375.687500 1650176404.6945
MEM 375.687500 1650176404.8055
MEM 376.156250 1650176404.9165
MEM 376.156250 1650176405.0265
MEM 376.156250 1650176405.1375
MEM 376.156250 1650176405.2485
MEM 376.156250 1650176405.3605
MEM 376.156250 1650176405.4725
MEM 376.156250 1650176405.5815
MEM 376.156250 1650176405.6935
MEM 376.156250 1650176405.8045
MEM 376.156250 1650176405.9155
MEM 376.156250 1650176406.0255
MEM 394.214844 1650176406.1365
MEM 515.808594 1650176406.2465
MEM 515.808594 1650176406.3575
MEM 515.808594 1650176406.4685
MEM 515.808594 1650176406.5795
MEM 515.808594 1650176406.6905
MEM 515.960938 1650176406.8015
MEM 515.960938 1650176406.9125
MEM 515.960938 1650176407.0235
MEM 515.960938 1650176407.1345
MEM 515.960938 1650176407.2445
MEM 523.621094 1650176407.3555
MEM 516.398438 1650176407.4665
MEM 516.398438 1650176407.5765
MEM 516.398438 1650176407.6875
MEM 516.398438 1650176407.7975
MEM 516.398438 1650176407.9075
MEM 516.398438 1650176408.0175
MEM 516.398438 1650176408.1275
MEM 516.398438 1650176408.2375
MEM 516.398438 1650176408.3485
MEM 516.398438 1650176408.4595
MEM 516.398438 1650176408.5706
MEM 571.851562 1650176408.6815
MEM 654.734375 1650176408.7915
MEM 654.734375 1650176408.9025
MEM 654.734375 1650176409.0135
MEM 654.734375 1650176409.1245
MEM 654.886719 1650176409.2355
MEM 654.886719 1650176409.3465
MEM 654.886719 1650176409.4575
MEM 654.886719 1650176409.5675
MEM 654.886719 1650176409.6785
MEM 662.527344 1650176409.7895
MEM 655.332031 1650176409.9015
MEM 655.332031 1650176410.0115
MEM 655.332031 1650176410.1215
MEM 655.332031 1650176410.2325
MEM 655.332031 1650176410.3445
MEM 655.332031 1650176410.4555
MEM 655.332031 1650176410.5665
MEM 655.332031 1650176410.6775
MEM 655.332031 1650176410.7865
MEM 655.332031 1650176410.8985
MEM 663.289062 1650176411.0085
MEM 785.687500 1650176411.1185
MEM 793.488281 1650176411.2295
MEM 793.488281 1650176411.3405
