CMDLINE python mtest_simpleplots.py
MEM 1.488281 1650176227.7071
MEM 19.496094 1650176227.8211
MEM 29.207031 1650176227.9301
MEM 38.277344 1650176228.0411
MEM 47.652344 1650176228.1517
MEM 83.941406 1650176228.2626
MEM 85.445312 1650176228.3746
MEM 85.445312 1650176228.4846
MEM 85.445312 1650176228.5956
MEM 85.074219 1650176228.7066
MEM 85.546875 1650176228.8166
MEM 85.671875 1650176228.9276
MEM 85.671875 1650176229.0376
MEM 85.671875 1650176229.1486
MEM 85.671875 1650176229.2586
MEM 85.671875 1650176229.3736
MEM 85.671875 1650176229.4776
MEM 107.636719 1650176229.5876
MEM 85.085938 1650176229.6986
MEM 86.128906 1650176229.8086
MEM 86.128906 1650176229.9196
MEM 86.128906 1650176230.0306
MEM 85.421875 1650176230.1406
MEM 86.523438 1650176230.2506
MEM 86.675781 1650176230.3606
MEM 86.675781 1650176230.4706
MEM 86.425781 1650176230.5806
MEM 86.675781 1650176230.6906
MEM 86.675781 1650176230.7996
MEM 86.675781 1650176230.9106
MEM 93.113281 1650176231.0206
MEM 85.730469 1650176231.1316
MEM 86.531250 1650176231.2416
MEM 86.531250 1650176231.3516
MEM 86.531250 1650176231.4616
MEM 86.371094 1650176231.5716
MEM 86.296875 1650176231.6816
MEM 86.406250 1650176231.7926
MEM 86.406250 1650176231.9026
MEM 86.406250 1650176232.0136
MEM 86.406250 1650176232.1236
MEM 86.406250 1650176232.2346
MEM 86.406250 1650176232.3456
MEM 93.234375 1650176232.4576
MEM 85.796875 1650176232.5666
MEM 86.535156 1650176232.6776
MEM 86.535156 1650176232.7876
MEM 86.535156 1650176232.8997
MEM 86.285156 1650176233.0096
MEM 86.656250 1650176233.1206
MEM 86.656250 1650176233.2316
MEM 86.656250 1650176233.3426
MEM 86.406250 1650176233.4536
MEM 86.406250 1650176233.5636
MEM 86.406250 1650176233.6746
MEM 86.406250 1650176233.7856
MEM 91.640625 1650176233.8966
MEM 85.796875 1650176234.0076
MEM 86.535156 1650176234.1186
MEM 86.535156 1650176234.2286
MEM 86.535156 1650176234.3406
MEM 86.097656 1650176234.4506
MEM 86.656250 1650176234.5626
MEM 86.656250 1650176234.6736
MEM 86.656250 1650176234.7846
MEM 86.406250 1650176234.8936
MEM 86.406250 1650176235.0046
MEM 86.406250 1650176235.1166
MEM 86.406250 1650176235.2276
MEM 60.539062 1650176235.3386
MEM 86.382812 1650176235.4496
MEM 86.535156 1650176235.5616
MEM 86.535156 1650176235.6716
MEM 85.445312 1650176235.7836
MEM 86.500000 1650176235.8936
MEM 86.656250 1650176236.0056
MEM 86.656250 1650176236.1156
MEM 86.656250 1650176236.2266
MEM 86.406250 1650176236.3366
MEM 86.406250 1650176236.4476
MEM 86.406250 1650176236.5586
MEM 97.582031 1650176236.6676
MEM 85.566406 1650176236.7796
MEM 86.390625 1650176236.8906
MEM 86.535156 1650176237.0016
MEM 86.535156 1650176237.1116
MEM 105.019531 1650176237.2226
MEM 86.500000 1650176237.3336
MEM 86.656250 1650176237.4456
MEM 86.656250 1650176237.5576
MEM 86.406250 1650176237.6676
MEM 86.406250 1650176237.7796
MEM 86.406250 1650176237.8896
MEM 86.406250 1650176238.0006
MEM 106.644531 1650176238.1106
MEM 85.867188 1650176238.2216
MEM 86.613281 1650176238.3316
MEM 86.613281 1650176238.4426
MEM 86.613281 1650176238.5526
MEM 86.363281 1650176238.6646
MEM 86.363281 1650176238.7756
MEM 86.410156 1650176238.8866
MEM 86.410156 1650176238.9976
MEM 86.410156 1650176239.1086
MEM 86.410156 1650176239.2186
MEM 86.410156 1650176239.3296
MEM 86.410156 1650176239.4406
MEM 93.738281 1650176239.5526
MEM 85.867188 1650176239.6636
MEM 86.613281 1650176239.7756
MEM 86.613281 1650176239.8856
MEM 86.613281 1650176239.9966
MEM 86.363281 1650176240.1077
MEM 86.660156 1650176240.2186
MEM 86.660156 1650176240.3296
MEM 86.660156 1650176240.4396
MEM 86.660156 1650176240.5516
MEM 86.410156 1650176240.6626
MEM 86.410156 1650176240.7736
MEM 86.410156 1650176240.8826
MEM 86.410156 1650176240.9936
MEM 86.382812 1650176241.1046
MEM 86.613281 1650176241.2156
MEM 86.613281 1650176241.3276
MEM 86.613281 1650176241.4386
MEM 86.613281 1650176241.5486
MEM 86.660156 1650176241.6606
MEM 86.660156 1650176241.7716
MEM 86.660156 1650176241.8836
MEM 86.660156 1650176241.9946
MEM 86.660156 1650176242.1066
MEM 86.660156 1650176242.2176
MEM 88.082031 1650176242.3286
MEM 72.878906 1650176242.4396
MEM 86.457031 1650176242.5506
MEM 86.613281 1650176242.6616
MEM 86.613281 1650176242.7716
MEM 86.613281 1650176242.8816
MEM 86.613281 1650176242.9926
MEM 86.660156 1650176243.1026
MEM 86.660156 1650176243.2136
MEM 86.660156 1650176243.3236
MEM 86.660156 1650176243.4346
MEM 86.660156 1650176243.5446
MEM 86.660156 1650176243.6566
MEM 94.671875 1650176243.7666
MEM 85.578125 1650176243.8766
MEM 86.457031 1650176243.9876
MEM 86.613281 1650176244.0996
MEM 86.613281 1650176244.2116
MEM 98.761719 1650176244.3226
MEM 86.613281 1650176244.4336
MEM 86.660156 1650176244.5446
MEM 86.660156 1650176244.6556
MEM 86.660156 1650176244.7656
MEM 86.660156 1650176244.8766
MEM 86.660156 1650176244.9876
MEM 86.660156 1650176245.0986
MEM 98.882812 1650176245.2086
MEM 86.054688 1650176245.3186
MEM 86.613281 1650176245.4296
MEM 86.613281 1650176245.5406
MEM 86.613281 1650176245.6516
MEM 86.613281 1650176245.7626
MEM 86.613281 1650176245.8736
MEM 86.660156 1650176245.9846
MEM 86.660156 1650176246.0956
MEM 86.660156 1650176246.2076
MEM 86.660156 1650176246.3186
MEM 86.660156 1650176246.4286
MEM 86.660156 1650176246.5396
MEM 93.988281 1650176246.6506
MEM 86.304688 1650176246.7616
MEM 86.613281 1650176246.8726
MEM 86.613281 1650176246.9836
MEM 86.613281 1650176247.0946
MEM 86.613281 1650176247.2036
MEM 86.660156 1650176247.3136
MEM 86.660156 1650176247.4236
MEM 86.660156 1650176247.5346
MEM 86.660156 1650176247.6446
MEM 86.660156 1650176247.7556
MEM 86.660156 1650176247.8676
MEM 86.660156 1650176247.9786
MEM 93.988281 1650176248.0896
MEM 86.359375 1650176248.2006
MEM 86.613281 1650176248.3116
MEM 86.613281 1650176248.4236
MEM 86.613281 1650176248.5326
MEM 86.613281 1650176248.6436
MEM 86.660156 1650176248.7546
MEM 86.660156 1650176248.8656
MEM 86.660156 1650176248.9776
MEM 86.660156 1650176249.0876
MEM 86.660156 1650176249.1996
MEM 86.660156 1650176249.3096
MEM 86.660156 1650176249.4206
MEM 59.011719 1650176249.5316
MEM 86.457031 1650176249.6426
MEM 86.613281 1650176249.7536
MEM 86.613281 1650176249.8636
MEM 86.613281 1650176249.9736
MEM 86.613281 1650176250.0836
MEM 86.660156 1650176250.1956
MEM 86.660156 1650176250.3066
MEM 86.660156 1650176250.4176
MEM 86.660156 1650176250.5276
MEM 86.660156 1650176250.6386
MEM 86.660156 1650176250.7496
MEM 86.660156 1650176250.8606
MEM 68.097656 1650176250.9706
MEM 86.457031 1650176251.0816
MEM 86.613281 1650176251.1926
MEM 86.613281 1650176251.3036
MEM 86.613281 1650176251.4156
MEM 86.613281 1650176251.5266
MEM 86.660156 1650176251.6376
MEM 86.660156 1650176251.7476
MEM 86.660156 1650176251.8596
MEM 86.660156 1650176251.9696
MEM 86.660156 1650176252.0806
MEM 86.660156 1650176252.1916
MEM 94.644531 1650176252.3026
MEM 85.609375 1650176252.4136
MEM 86.457031 1650176252.5236
MEM 86.613281 1650176252.6326
MEM 86.613281 1650176252.7436
MEM 101.542969 1650176252.8536
MEM 86.613281 1650176252.9636
MEM 86.660156 1650176253.0746
MEM 86.660156 1650176253.1856
MEM 86.660156 1650176253.2966
MEM 86.660156 1650176253.4076
MEM 86.660156 1650176253.5186
MEM 86.660156 1650176253.6296
MEM 104.195312 1650176253.7396
MEM 86.304688 1650176253.8506
MEM 86.613281 1650176253.9626
MEM 86.613281 1650176254.0736
MEM 86.613281 1650176254.1856
MEM 86.613281 1650176254.2956
MEM 86.613281 1650176254.4076
MEM 86.660156 1650176254.5176
MEM 86.660156 1650176254.6286
MEM 86.660156 1650176254.7396
MEM 86.660156 1650176254.8506
MEM 86.660156 1650176254.9616
MEM 86.660156 1650176255.0726
MEM 93.988281 1650176255.1816
MEM 86.304688 1650176255.2936
MEM 86.613281 1650176255.4046
MEM 86.613281 1650176255.5166
MEM 86.613281 1650176255.6266
MEM 86.613281 1650176255.7376
MEM 86.660156 1650176255.8486
MEM 86.660156 1650176255.9596
MEM 86.660156 1650176256.0716
MEM 86.660156 1650176256.1826
MEM 86.660156 1650176256.2936
MEM 86.660156 1650176256.4036
MEM 86.660156 1650176256.5146
MEM 93.988281 1650176256.6256
MEM 86.359375 1650176256.7356
MEM 86.613281 1650176256.8466
MEM 86.613281 1650176256.9556
MEM 86.613281 1650176257.0646
MEM 86.613281 1650176257.1746
MEM 86.660156 1650176257.2856
MEM 86.660156 1650176257.3956
MEM 86.660156 1650176257.5066
MEM 86.660156 1650176257.6176
MEM 86.660156 1650176257.7276
MEM 86.699219 1650176257.8386
MEM 86.699219 1650176257.9506
MEM 86.277344 1650176258.0616
MEM 86.390625 1650176258.1726
MEM 86.699219 1650176258.2826
MEM 86.699219 1650176258.3936
MEM 86.699219 1650176258.5046
MEM 86.472656 1650176258.6146
