CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_simpleplots.py
MEM 1.464844 1644774452.9898
MEM 18.726562 1644774453.1019
MEM 28.207031 1644774453.2140
MEM 35.285156 1644774453.3251
MEM 44.539062 1644774453.4362
MEM 70.613281 1644774453.5483
MEM 84.234375 1644774453.6554
MEM 84.906250 1644774453.7665
MEM 84.906250 1644774453.8766
MEM 84.343750 1644774453.9877
MEM 85.085938 1644774454.0972
MEM 85.085938 1644774454.2093
MEM 85.085938 1644774454.3193
MEM 84.914062 1644774454.4303
MEM 85.078125 1644774454.5393
MEM 85.078125 1644774454.6504
MEM 92.316406 1644774454.7623
MEM 84.941406 1644774454.8724
MEM 85.910156 1644774454.9833
MEM 85.910156 1644774455.0943
MEM 85.910156 1644774455.2062
MEM 85.500000 1644774455.3142
MEM 86.085938 1644774455.4232
MEM 86.085938 1644774455.5323
MEM 85.656250 1644774455.6424
MEM 86.062500 1644774455.7533
MEM 86.062500 1644774455.8654
MEM 86.101562 1644774455.9763
MEM 75.378906 1644774456.0873
MEM 85.835938 1644774456.1984
MEM 86.070312 1644774456.3102
MEM 86.070312 1644774456.4203
MEM 85.656250 1644774456.5313
MEM 86.218750 1644774456.6413
MEM 86.218750 1644774456.7513
MEM 86.218750 1644774456.8623
MEM 86.062500 1644774456.9733
MEM 86.261719 1644774457.0853
MEM 86.261719 1644774457.1962
MEM 93.140625 1644774457.3072
MEM 85.492188 1644774457.4163
MEM 86.203125 1644774457.5263
MEM 86.203125 1644774457.6353
MEM 86.203125 1644774457.7463
MEM 85.753906 1644774457.8573
MEM 86.261719 1644774457.9693
MEM 86.261719 1644774458.0804
MEM 85.812500 1644774458.1912
MEM 86.218750 1644774458.3022
MEM 86.218750 1644774458.4112
MEM 87.007812 1644774458.5222
MEM 78.257812 1644774458.6343
MEM 85.921875 1644774458.7433
MEM 86.183594 1644774458.8533
MEM 86.183594 1644774458.9643
MEM 85.753906 1644774459.0753
MEM 86.160156 1644774459.1862
MEM 86.160156 1644774459.2962
MEM 86.160156 1644774459.4072
MEM 86.003906 1644774459.5182
MEM 86.218750 1644774459.6273
MEM 86.218750 1644774459.7383
MEM 93.082031 1644774459.8503
MEM 85.492188 1644774459.9624
MEM 85.980469 1644774460.0723
MEM 85.980469 1644774460.1833
MEM 90.187500 1644774460.2942
MEM 86.003906 1644774460.4032
MEM 86.175781 1644774460.5152
MEM 86.175781 1644774460.6252
MEM 85.753906 1644774460.7363
MEM 86.160156 1644774460.8473
MEM 86.160156 1644774460.9583
MEM 96.218750 1644774461.0693
MEM 85.195312 1644774461.1813
MEM 85.769531 1644774461.2923
MEM 85.945312 1644774461.4012
MEM 85.945312 1644774461.5122
MEM 85.750000 1644774461.6222
MEM 86.253906 1644774461.7333
MEM 86.253906 1644774461.8443
MEM 86.253906 1644774461.9543
MEM 86.218750 1644774462.0663
MEM 86.218750 1644774462.1784
MEM 86.218750 1644774462.2892
MEM 93.140625 1644774462.4003
MEM 85.593750 1644774462.5106
MEM 86.273438 1644774462.6207
MEM 86.273438 1644774462.7328
MEM 111.855469 1644774462.8449
MEM 86.062500 1644774462.9560
MEM 86.277344 1644774463.0681
MEM 86.277344 1644774463.1792
MEM 86.070312 1644774463.2884
MEM 86.218750 1644774463.3994
MEM 86.218750 1644774463.5115
MEM 105.308594 1644774463.6226
MEM 85.519531 1644774463.7339
MEM 86.183594 1644774463.8450
MEM 86.183594 1644774463.9571
MEM 86.183594 1644774464.0682
MEM 85.753906 1644774464.1803
MEM 86.269531 1644774464.2894
MEM 86.269531 1644774464.4015
MEM 85.816406 1644774464.5116
MEM 86.222656 1644774464.6227
MEM 86.222656 1644774464.7328
MEM 86.222656 1644774464.8439
MEM 61.421875 1644774464.9560
MEM 85.921875 1644774465.0661
MEM 86.164062 1644774465.1772
MEM 86.164062 1644774465.2883
MEM 85.839844 1644774465.3984
MEM 86.191406 1644774465.5105
MEM 86.191406 1644774465.6216
MEM 86.191406 1644774465.7327
MEM 86.003906 1644774465.8448
MEM 86.160156 1644774465.9569
MEM 86.160156 1644774466.0670
MEM 93.082031 1644774466.1791
MEM 85.500000 1644774466.2902
MEM 86.207031 1644774466.3993
MEM 86.207031 1644774466.5094
MEM 86.207031 1644774466.6195
MEM 86.035156 1644774466.7306
MEM 86.160156 1644774466.8427
MEM 86.160156 1644774466.9548
MEM 85.753906 1644774467.0649
MEM 86.160156 1644774467.1770
MEM 86.160156 1644774467.2881
MEM 93.898438 1644774467.3992
MEM 85.035156 1644774467.5103
MEM 85.921875 1644774467.6214
MEM 86.191406 1644774467.7315
MEM 86.191406 1644774467.8426
MEM 85.753906 1644774467.9547
MEM 86.191406 1644774468.0658
MEM 86.191406 1644774468.1779
MEM 86.191406 1644774468.2890
MEM 86.210938 1644774468.3991
MEM 86.210938 1644774468.5092
MEM 86.210938 1644774468.6203
MEM 93.082031 1644774468.7324
MEM 85.519531 1644774468.8425
MEM 86.191406 1644774468.9536
MEM 86.191406 1644774469.0657
MEM 105.878906 1644774469.1748
MEM 86.003906 1644774469.2869
MEM 86.160156 1644774469.3980
MEM 86.160156 1644774469.5067
MEM 85.792969 1644774469.6178
MEM 86.218750 1644774469.7289
MEM 86.218750 1644774469.8410
MEM 103.464844 1644774469.9521
MEM 85.496094 1644774470.0642
MEM 86.171875 1644774470.1749
MEM 86.171875 1644774470.2850
MEM 86.171875 1644774470.3971
MEM 85.753906 1644774470.5082
MEM 86.214844 1644774470.6193
MEM 86.214844 1644774470.7284
MEM 85.753906 1644774470.8405
MEM 86.160156 1644774470.9516
MEM 86.160156 1644774471.0627
MEM 86.160156 1644774471.1738
MEM 55.664062 1644774471.2845
MEM 85.921875 1644774471.3941
MEM 86.160156 1644774471.5062
MEM 86.160156 1644774471.6183
MEM 85.753906 1644774471.7283
MEM 86.003906 1644774471.8384
MEM 86.160156 1644774471.9483
MEM 86.160156 1644774472.0584
MEM 86.003906 1644774472.1695
MEM 86.195312 1644774472.2816
MEM 86.195312 1644774472.3927
MEM 93.082031 1644774472.5048
MEM 85.496094 1644774472.6169
MEM 86.214844 1644774472.7270
MEM 86.214844 1644774472.8361
MEM 86.214844 1644774472.9472
MEM 85.878906 1644774473.0583
MEM 86.210938 1644774473.1694
MEM 86.210938 1644774473.2785
MEM 85.753906 1644774473.3906
MEM 86.160156 1644774473.5027
MEM 86.160156 1644774473.6148
MEM 91.816406 1644774473.7269
MEM 85.121094 1644774473.8391
MEM 85.921875 1644774473.9512
MEM 86.187500 1644774474.0633
MEM 86.187500 1644774474.1754
MEM 85.753906 1644774474.2865
MEM 86.160156 1644774474.3986
MEM 86.160156 1644774474.5107
MEM 86.160156 1644774474.6208
MEM 86.003906 1644774474.7319
MEM 86.160156 1644774474.8440
MEM 86.160156 1644774474.9551
MEM 93.082031 1644774475.0663
MEM 85.519531 1644774475.1784
MEM 86.214844 1644774475.2885
MEM 86.214844 1644774475.3996
MEM 111.792969 1644774475.5117
MEM 86.003906 1644774475.6228
MEM 86.207031 1644774475.7349
MEM 86.207031 1644774475.8450
MEM 86.003906 1644774475.9571
MEM 86.160156 1644774476.0682
MEM 86.160156 1644774476.1793
MEM 104.023438 1644774476.2914
MEM 85.207031 1644774476.4015
MEM 85.921875 1644774476.5136
MEM 86.218750 1644774476.6237
MEM 86.218750 1644774476.7338
MEM 85.753906 1644774476.8449
MEM 86.160156 1644774476.9560
MEM 86.160156 1644774477.0681
MEM 85.753906 1644774477.1782
MEM 86.160156 1644774477.2893
MEM 86.160156 1644774477.4004
MEM 86.160156 1644774477.5115
MEM 85.753906 1644774477.6226
MEM 85.519531 1644774477.7357
MEM 86.179688 1644774477.8438
MEM 86.179688 1644774477.9549
MEM 95.027344 1644774478.0660
MEM 86.003906 1644774478.1771
MEM 86.214844 1644774478.2893
MEM 86.214844 1644774478.3994
MEM 85.753906 1644774478.5095
MEM 86.203125 1644774478.6206
MEM 86.203125 1644774478.7317
MEM 93.593750 1644774478.8428
MEM 85.121094 1644774478.9549
MEM 85.921875 1644774479.0660
MEM 86.167969 1644774479.1776
MEM 86.167969 1644774479.2897
MEM 85.753906 1644774479.4008
MEM 86.160156 1644774479.5109
MEM 86.160156 1644774479.6230
MEM 86.160156 1644774479.7351
MEM 86.160156 1644774479.8472
MEM 86.160156 1644774479.9583
MEM 86.160156 1644774480.0694
MEM 93.082031 1644774480.1815
MEM 85.519531 1644774480.2926
MEM 86.210938 1644774480.4037
MEM 86.210938 1644774480.5148
MEM 111.941406 1644774480.6269
MEM 86.003906 1644774480.7390
MEM 86.195312 1644774480.8511
MEM 86.195312 1644774480.9612
MEM 86.035156 1644774481.0733
MEM 86.210938 1644774481.1854
MEM 86.210938 1644774481.2975
MEM 105.628906 1644774481.4086
MEM 85.496094 1644774481.5207
MEM 86.218750 1644774481.6322
MEM 86.218750 1644774481.7442
MEM 86.218750 1644774481.8563
MEM 85.753906 1644774481.9663
MEM 86.160156 1644774482.0784
MEM 86.160156 1644774482.1895
MEM 85.753906 1644774482.3016
MEM 86.195312 1644774482.4137
MEM 86.195312 1644774482.5258
MEM 86.195312 1644774482.6369
MEM 64.445312 1644774482.7470
MEM 85.921875 1644774482.8591
MEM 86.195312 1644774482.9682
MEM 86.195312 1644774483.0783
MEM 85.878906 1644774483.1894
MEM 86.042969 1644774483.3005
MEM 86.218750 1644774483.4126
MEM 86.218750 1644774483.5227
MEM 86.042969 1644774483.6338
MEM 86.257812 1644774483.7459
MEM 86.257812 1644774483.8580
MEM 93.121094 1644774483.9701
MEM 85.539062 1644774484.0822
MEM 86.203125 1644774484.1933
MEM 86.203125 1644774484.3054
MEM 85.792969 1644774484.4165
MEM 86.042969 1644774484.5276
MEM 86.199219 1644774484.6377
MEM 86.199219 1644774484.7498
MEM 85.792969 1644774484.8619
MEM 86.199219 1644774484.9740
MEM 86.199219 1644774485.0861
MEM 94.718750 1644774485.1982
MEM 85.089844 1644774485.3093
MEM 85.960938 1644774485.4214
MEM 86.246094 1644774485.5325
MEM 86.246094 1644774485.6446
MEM 85.792969 1644774485.7557
MEM 86.207031 1644774485.8668
MEM 86.207031 1644774485.9789
MEM 86.207031 1644774486.0900
MEM 86.246094 1644774486.2021
MEM 86.246094 1644774486.3142
MEM 86.246094 1644774486.4253
MEM 85.792969 1644774486.5354
MEM 85.683594 1644774486.6475
MEM 86.234375 1644774486.7596
MEM 86.234375 1644774486.8697
MEM 85.792969 1644774486.9818
MEM 86.042969 1644774487.0939
MEM 86.238281 1644774487.2060
MEM 86.238281 1644774487.3181
MEM 86.042969 1644774487.4292
MEM 86.253906 1644774487.5413
MEM 86.253906 1644774487.6534
MEM 93.121094 1644774487.7655
MEM 85.535156 1644774487.8776
MEM 86.199219 1644774487.9897
MEM 86.199219 1644774488.1008
MEM 86.199219 1644774488.2129
MEM 85.792969 1644774488.3240
MEM 86.207031 1644774488.4351
MEM 86.207031 1644774488.5442
MEM 85.792969 1644774488.6563
MEM 86.199219 1644774488.7674
MEM 86.199219 1644774488.8795
MEM 86.199219 1644774488.9906
MEM 61.843750 1644774489.1017
MEM 85.960938 1644774489.2158
MEM 86.234375 1644774489.3229
MEM 86.234375 1644774489.4340
MEM 85.875000 1644774489.5436
MEM 86.042969 1644774489.6538
MEM 86.199219 1644774489.7659
MEM 86.199219 1644774489.8770
MEM 86.042969 1644774489.9881
MEM 86.199219 1644774490.0992
MEM 86.199219 1644774490.2113
MEM 93.121094 1644774490.3234
MEM 85.535156 1644774490.4355
MEM 86.230469 1644774490.5466
MEM 86.230469 1644774490.6567
MEM 86.230469 1644774490.7688
MEM 85.980469 1644774490.8809
MEM 86.218750 1644774490.9930
MEM 86.218750 1644774491.1031
MEM 85.792969 1644774491.2142
MEM 86.199219 1644774491.3253
MEM 86.199219 1644774491.4374
MEM 91.710938 1644774491.5495
MEM 85.054688 1644774491.6616
MEM 85.960938 1644774491.7737
MEM 86.242188 1644774491.8848
MEM 86.242188 1644774491.9969
MEM 85.792969 1644774492.1090
MEM 86.253906 1644774492.2201
MEM 86.253906 1644774492.3323
MEM 86.253906 1644774492.4432
MEM 86.042969 1644774492.5533
MEM 86.199219 1644774492.6654
MEM 86.199219 1644774492.7775
MEM 93.121094 1644774492.8926
MEM 85.558594 1644774493.0027
MEM 86.246094 1644774493.1118
MEM 86.246094 1644774493.2219
MEM 99.058594 1644774493.3340
MEM 86.042969 1644774493.4451
MEM 86.253906 1644774493.5572
MEM 86.253906 1644774493.6683
MEM 85.792969 1644774493.7804
