CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_matplotlib.py
MEM 183.378906 1644774637.9306
MEM 236.226562 1644774638.0407
MEM 236.226562 1644774638.1528
MEM 236.226562 1644774638.2649
MEM 236.406250 1644774638.3750
MEM 237.050781 1644774638.4831
MEM 237.050781 1644774638.5912
MEM 237.050781 1644774638.7033
MEM 237.050781 1644774638.8134
MEM 237.519531 1644774638.9235
MEM 237.519531 1644774639.0346
MEM 237.519531 1644774639.1457
MEM 237.519531 1644774639.2578
MEM 237.519531 1644774639.3699
MEM 237.519531 1644774639.4810
MEM 237.519531 1644774639.5921
MEM 237.519531 1644774639.7022
MEM 237.519531 1644774639.8123
MEM 302.273438 1644774639.9234
MEM 376.109375 1644774640.0345
MEM 376.109375 1644774640.1416
MEM 376.109375 1644774640.2467
MEM 376.109375 1644774640.3588
MEM 358.015625 1644774640.4699
MEM 376.972656 1644774640.5800
MEM 376.972656 1644774640.6901
MEM 376.972656 1644774640.8022
MEM 384.707031 1644774640.9113
MEM 377.410156 1644774641.0234
MEM 377.410156 1644774641.1355
MEM 377.410156 1644774641.2460
MEM 377.410156 1644774641.3581
MEM 377.410156 1644774641.4672
MEM 377.410156 1644774641.5743
MEM 377.410156 1644774641.6854
MEM 377.410156 1644774641.7965
MEM 385.761719 1644774641.9086
MEM 490.460938 1644774642.0197
MEM 514.902344 1644774642.1308
MEM 514.902344 1644774642.2399
MEM 514.902344 1644774642.3510
MEM 479.082031 1644774642.4621
MEM 515.089844 1644774642.5742
MEM 515.089844 1644774642.6863
MEM 515.089844 1644774642.7964
MEM 522.828125 1644774642.9075
MEM 515.531250 1644774643.0191
MEM 515.531250 1644774643.1302
MEM 515.531250 1644774643.2404
MEM 515.531250 1644774643.3514
MEM 515.531250 1644774643.4605
MEM 515.531250 1644774643.5686
MEM 515.531250 1644774643.6797
MEM 515.531250 1644774643.7908
MEM 557.484375 1644774643.9029
MEM 654.242188 1644774644.0130
MEM 654.242188 1644774644.1241
MEM 654.242188 1644774644.2352
MEM 654.402344 1644774644.3463
MEM 655.175781 1644774644.4584
MEM 655.175781 1644774644.5705
MEM 655.175781 1644774644.6796
MEM 662.808594 1644774644.7897
MEM 655.621094 1644774644.9018
MEM 655.621094 1644774645.0129
MEM 655.621094 1644774645.1240
MEM 655.621094 1644774645.2361
MEM 655.621094 1644774645.3482
MEM 655.621094 1644774645.4603
MEM 655.621094 1644774645.5724
MEM 655.621094 1644774645.6835
MEM 682.992188 1644774645.7946
MEM 793.882812 1644774645.9067
MEM 793.882812 1644774646.0178
MEM 793.882812 1644774646.1289
MEM 794.035156 1644774646.2411
MEM 794.035156 1644774646.3522
MEM 794.035156 1644774646.4633
MEM 794.035156 1644774646.5744
MEM 801.710938 1644774646.6875
MEM 794.480469 1644774646.7986
MEM 794.480469 1644774646.9067
MEM 794.480469 1644774647.0178
MEM 794.480469 1644774647.1279
MEM 794.480469 1644774647.2370
MEM 794.480469 1644774647.3451
MEM 794.480469 1644774647.4552
MEM 794.480469 1644774647.5643
MEM 826.925781 1644774647.6744
MEM 933.054688 1644774647.7855
MEM 933.054688 1644774647.8956
MEM 933.054688 1644774648.0057
MEM 933.207031 1644774648.1148
MEM 933.207031 1644774648.2259
MEM 933.207031 1644774648.3380
MEM 933.207031 1644774648.4491
MEM 940.863281 1644774648.5607
MEM 933.644531 1644774648.6715
MEM 933.644531 1644774648.7826
MEM 933.644531 1644774648.8937
MEM 933.644531 1644774649.0048
MEM 933.644531 1644774649.1149
MEM 933.644531 1644774649.2270
MEM 933.644531 1644774649.3391
MEM 933.644531 1644774649.4502
MEM 979.406250 1644774649.5623
MEM 1073.398438 1644774649.6744
MEM 1073.398438 1644774649.7828
MEM 1073.398438 1644774649.8939
MEM 1073.550781 1644774650.0050
MEM 1073.550781 1644774650.1135
MEM 1073.550781 1644774650.2256
MEM 1073.550781 1644774650.3367
MEM 1081.207031 1644774650.4488
MEM 1073.988281 1644774650.5599
MEM 1073.988281 1644774650.6650
MEM 1073.988281 1644774650.7721
MEM 1073.988281 1644774650.8832
MEM 1073.988281 1644774650.9953
MEM 1073.988281 1644774651.1064
MEM 1073.988281 1644774651.2175
MEM 1073.988281 1644774651.3286
MEM 1085.253906 1644774651.4407
MEM 1211.113281 1644774651.5518
MEM 1211.691406 1644774651.6619
MEM 1211.691406 1644774651.7730
MEM 1211.691406 1644774651.8851
MEM 1208.039062 1644774651.9962
MEM 1212.695312 1644774652.1073
MEM 1212.695312 1644774652.2194
MEM 1212.695312 1644774652.3315
MEM 1213.140625 1644774652.4436
MEM 1213.140625 1644774652.5547
MEM 1213.140625 1644774652.6658
MEM 1213.140625 1644774652.7779
MEM 1213.140625 1644774652.8900
MEM 1213.140625 1644774652.9991
MEM 1213.140625 1644774653.1112
MEM 1213.140625 1644774653.2223
MEM 1221.320312 1644774653.3344
MEM 1329.320312 1644774653.4465
MEM 1351.328125 1644774653.5576
MEM 1351.328125 1644774653.6687
MEM 1351.335938 1644774653.7798
MEM 1329.523438 1644774653.8909
MEM 1352.382812 1644774654.0030
MEM 1352.382812 1644774654.1151
MEM 1352.382812 1644774654.2262
MEM 1352.824219 1644774654.3353
MEM 1352.832031 1644774654.4434
MEM 1352.832031 1644774654.5525
MEM 1352.832031 1644774654.6626
MEM 1352.832031 1644774654.7737
MEM 1352.832031 1644774654.8838
MEM 1352.832031 1644774654.9969
MEM 1352.832031 1644774655.1050
MEM 1352.832031 1644774655.2151
MEM 1419.531250 1644774655.3272
MEM 1491.621094 1644774655.4383
MEM 1491.621094 1644774655.5494
MEM 1491.621094 1644774655.6595
MEM 1491.773438 1644774655.7716
MEM 1491.773438 1644774655.8817
MEM 1491.773438 1644774655.9928
MEM 1491.773438 1644774656.1039
MEM 1499.371094 1644774656.2130
MEM 1499.531250 1644774656.3201
MEM 1492.246094 1644774656.4312
MEM 1492.246094 1644774656.5423
MEM 1492.246094 1644774656.6514
MEM 1492.246094 1644774656.7615
MEM 1492.246094 1644774656.8716
MEM 1492.246094 1644774656.9827
MEM 1492.246094 1644774657.0948
MEM 1492.246094 1644774657.2064
MEM 1568.421875 1644774657.3165
MEM 1630.605469 1644774657.4276
MEM 1630.605469 1644774657.5387
MEM 1630.605469 1644774657.6493
MEM 1630.757812 1644774657.7553
MEM 1630.894531 1644774657.8624
MEM 1630.894531 1644774657.9735
MEM 1630.894531 1644774658.0856
MEM 1630.894531 1644774658.1977
MEM 1638.628906 1644774658.3048
MEM 1631.363281 1644774658.4159
MEM 1631.363281 1644774658.5280
MEM 1631.363281 1644774658.6402
MEM 1631.363281 1644774658.7513
MEM 1631.363281 1644774658.8624
MEM 1631.363281 1644774658.9725
MEM 1631.363281 1644774659.0840
MEM 1631.363281 1644774659.1911
MEM 1284.339844 1644774659.3020
MEM 459.605469 1644774659.4131
MEM 128.968750 1644774659.5250
MEM 234.878906 1644774659.6361
MEM 234.878906 1644774659.7480
MEM 234.878906 1644774659.8600
MEM 234.878906 1644774659.9720
MEM 221.265625 1644774660.0832
MEM 236.382812 1644774660.1953
MEM 236.382812 1644774660.3074
MEM 236.382812 1644774660.4175
MEM 243.984375 1644774660.5296
MEM 236.816406 1644774660.6417
MEM 236.816406 1644774660.7538
MEM 236.816406 1644774660.8659
MEM 236.816406 1644774660.9780
MEM 236.816406 1644774661.0891
MEM 236.816406 1644774661.1992
MEM 236.816406 1644774661.3093
MEM 236.816406 1644774661.4214
MEM 244.875000 1644774661.5325
MEM 360.980469 1644774661.6436
MEM 375.031250 1644774661.7537
MEM 375.031250 1644774661.8648
MEM 375.031250 1644774661.9769
MEM 374.835938 1644774662.0890
MEM 375.398438 1644774662.2011
MEM 375.398438 1644774662.3132
MEM 375.398438 1644774662.4253
MEM 375.835938 1644774662.5364
MEM 375.835938 1644774662.6465
MEM 375.835938 1644774662.7566
MEM 375.835938 1644774662.8677
MEM 375.835938 1644774662.9798
MEM 375.835938 1644774663.0909
MEM 375.835938 1644774663.2030
MEM 375.835938 1644774663.3151
MEM 383.921875 1644774663.4262
MEM 504.210938 1644774663.5383
MEM 513.968750 1644774663.6494
MEM 513.968750 1644774663.7615
MEM 513.968750 1644774663.8716
MEM 514.121094 1644774663.9837
MEM 514.121094 1644774664.0948
MEM 514.121094 1644774664.2069
MEM 521.750000 1644774664.3180
MEM 514.562500 1644774664.4291
MEM 514.562500 1644774664.5402
MEM 514.562500 1644774664.6513
MEM 514.562500 1644774664.7624
MEM 514.562500 1644774664.8745
MEM 514.562500 1644774664.9856
MEM 514.562500 1644774665.0977
MEM 514.562500 1644774665.2098
MEM 572.765625 1644774665.3209
MEM 652.671875 1644774665.4320
MEM 652.671875 1644774665.5441
MEM 652.671875 1644774665.6562
MEM 652.824219 1644774665.7683
MEM 653.550781 1644774665.8804
MEM 653.550781 1644774665.9925
MEM 653.550781 1644774666.1036
MEM 661.292969 1644774666.2107
MEM 653.996094 1644774666.3198
MEM 653.996094 1644774666.4299
MEM 653.996094 1644774666.5410
MEM 653.996094 1644774666.6491
MEM 653.996094 1644774666.7612
MEM 653.996094 1644774666.8713
MEM 653.996094 1644774666.9824
MEM 654.132812 1644774667.0925
MEM 749.871094 1644774667.2046
MEM 793.851562 1644774667.3167
MEM 793.851562 1644774667.4273
MEM 793.851562 1644774667.5394
MEM 754.417969 1644774667.6495
MEM 794.042969 1644774667.7606
MEM 794.042969 1644774667.8724
MEM 794.042969 1644774667.9845
MEM 801.785156 1644774668.0946
MEM 794.484375 1644774668.2067
MEM 794.484375 1644774668.3178
MEM 794.484375 1644774668.4289
MEM 794.484375 1644774668.5390
MEM 794.484375 1644774668.6511
MEM 794.484375 1644774668.7612
MEM 794.484375 1644774668.8723
MEM 794.496094 1644774668.9834
MEM 875.453125 1644774669.0935
MEM 933.585938 1644774669.2056
MEM 933.585938 1644774669.3167
MEM 933.585938 1644774669.4268
MEM 933.738281 1644774669.5386
MEM 933.738281 1644774669.6497
MEM 933.738281 1644774669.7599
MEM 933.738281 1644774669.8710
MEM 941.476562 1644774669.9810
MEM 934.175781 1644774670.0930
MEM 934.175781 1644774670.2040
MEM 934.175781 1644774670.3150
MEM 934.175781 1644774670.4271
MEM 934.175781 1644774670.5380
MEM 934.175781 1644774670.6490
MEM 934.175781 1644774670.7579
MEM 934.175781 1644774670.8689
MEM 994.050781 1644774670.9789
MEM 1074.179688 1644774671.0910
MEM 1074.179688 1644774671.2010
MEM 1074.179688 1644774671.3081
MEM 1074.332031 1644774671.4129
MEM 1074.996094 1644774671.5230
MEM 1074.996094 1644774671.6351
MEM 1074.996094 1644774671.7472
MEM 1074.996094 1644774671.8593
MEM 1082.753906 1644774671.9714
MEM 1075.433594 1644774672.0813
MEM 1075.433594 1644774672.1924
MEM 1075.433594 1644774672.3025
MEM 1075.433594 1644774672.4136
MEM 1075.433594 1644774672.5247
MEM 1075.433594 1644774672.6358
MEM 1075.433594 1644774672.7449
MEM 1075.433594 1644774672.8560
MEM 1102.085938 1644774672.9671
MEM 1214.675781 1644774673.0772
MEM 1214.675781 1644774673.1883
MEM 1214.675781 1644774673.2984
MEM 1214.828125 1644774673.4095
MEM 1214.828125 1644774673.5206
MEM 1214.828125 1644774673.6327
MEM 1214.828125 1644774673.7428
MEM 1222.484375 1644774673.8544
MEM 1215.273438 1644774673.9632
MEM 1215.273438 1644774674.0743
MEM 1215.273438 1644774674.1854
MEM 1215.273438 1644774674.2975
MEM 1215.273438 1644774674.4086
MEM 1215.273438 1644774674.5167
MEM 1215.273438 1644774674.6278
MEM 1215.273438 1644774674.7389
MEM 1253.753906 1644774674.8510
MEM 1353.945312 1644774674.9621
MEM 1353.945312 1644774675.0732
MEM 1353.945312 1644774675.1843
MEM 1354.097656 1644774675.2964
MEM 1354.097656 1644774675.4075
MEM 1354.097656 1644774675.5186
MEM 1354.097656 1644774675.6307
MEM 1361.777344 1644774675.7408
MEM 1354.562500 1644774675.8519
MEM 1354.562500 1644774675.9610
MEM 1354.562500 1644774676.0731
MEM 1354.562500 1644774676.1842
MEM 1354.562500 1644774676.2943
MEM 1354.562500 1644774676.4064
MEM 1354.562500 1644774676.5165
MEM 1354.562500 1644774676.6286
MEM 1419.773438 1644774676.7397
MEM 1494.671875 1644774676.8508
MEM 1494.671875 1644774676.9609
MEM 1494.671875 1644774677.0700
MEM 1494.824219 1644774677.1811
MEM 1494.824219 1644774677.2922
MEM 1494.824219 1644774677.4043
MEM 1494.824219 1644774677.5154
MEM 1502.519531 1644774677.6245
MEM 1495.261719 1644774677.7356
MEM 1495.261719 1644774677.8427
MEM 1495.261719 1644774677.9518
MEM 1495.261719 1644774678.0634
MEM 1495.261719 1644774678.1740
MEM 1495.261719 1644774678.2861
MEM 1495.261719 1644774678.3958
MEM 1495.261719 1644774678.5059
MEM 1505.027344 1644774678.6170
MEM 1632.335938 1644774678.7271
