CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_matplotlib.py
MEM 1.464844 1644774206.3804
MEM 18.746094 1644774206.4875
MEM 28.210938 1644774206.5996
MEM 35.652344 1644774206.7117
MEM 45.183594 1644774206.8228
MEM 59.863281 1644774206.9349
MEM 69.074219 1644774207.0470
MEM 94.656250 1644774207.1581
MEM 116.554688 1644774207.2702
MEM 109.359375 1644774207.3823
MEM 130.421875 1644774207.4944
MEM 138.242188 1644774207.6066
MEM 138.632812 1644774207.7177
MEM 159.824219 1644774207.8288
MEM 152.636719 1644774207.9409
MEM 173.558594 1644774208.0530
MEM 174.070312 1644774208.1651
MEM 183.476562 1644774208.2762
MEM 202.679688 1644774208.3883
MEM 195.480469 1644774208.5004
MEM 216.554688 1644774208.6125
MEM 217.089844 1644774208.7246
MEM 232.980469 1644774208.8367
MEM 246.015625 1644774208.9488
MEM 238.761719 1644774209.0604
MEM 259.964844 1644774209.1720
MEM 260.484375 1644774209.2831
MEM 281.078125 1644774209.3932
MEM 289.566406 1644774209.5040
MEM 282.304688 1644774209.6151
MEM 114.527344 1644774209.7272
MEM 122.054688 1644774209.8383
MEM 122.117188 1644774209.9545
MEM 142.574219 1644774210.0657
MEM 135.386719 1644774210.1848
MEM 155.746094 1644774210.2849
MEM 163.785156 1644774210.3970
MEM 163.878906 1644774210.5091
MEM 185.351562 1644774210.6212
MEM 178.164062 1644774210.7323
MEM 198.742188 1644774210.8424
MEM 206.585938 1644774210.9545
MEM 206.761719 1644774211.0666
MEM 227.585938 1644774211.1787
MEM 220.328125 1644774211.2908
MEM 240.238281 1644774211.4029
MEM 240.742188 1644774211.5151
MEM 251.269531 1644774211.6263
MEM 269.093750 1644774211.7384
MEM 261.832031 1644774211.8505
MEM 290.218750 1644774211.9626
MEM 283.117188 1644774212.0747
MEM 303.617188 1644774212.1868
MEM 311.476562 1644774212.3030
MEM 304.214844 1644774212.4090
MEM 333.046875 1644774212.5212
MEM 325.933594 1644774212.6333
MEM 96.242188 1644774212.7454
MEM 123.320312 1644774212.8575
MEM 116.175781 1644774212.9688
MEM 135.839844 1644774213.0804
MEM 144.007812 1644774213.1925
MEM 144.035156 1644774213.3046
MEM 164.582031 1644774213.4157
MEM 157.320312 1644774213.5248
MEM 178.222656 1644774213.6369
MEM 178.722656 1644774213.7490
MEM 186.242188 1644774213.8611
MEM 206.835938 1644774213.9732
MEM 199.574219 1644774214.0835
MEM 227.601562 1644774214.1956
MEM 220.496094 1644774214.3057
MEM 240.363281 1644774214.4178
MEM 248.234375 1644774214.5309
MEM 240.996094 1644774214.6410
MEM 269.652344 1644774214.7521
MEM 262.519531 1644774214.8642
MEM 282.804688 1644774214.9763
MEM 290.566406 1644774215.0884
MEM 283.320312 1644774215.2005
MEM 311.500000 1644774215.3116
MEM 304.343750 1644774215.4217
MEM 324.921875 1644774215.5328
MEM 332.675781 1644774215.6449
MEM 325.546875 1644774215.7570
