CMDLINE python mtest_simpleplots.py
MEM 1.484375 1650175963.9934
MEM 17.640625 1650175964.0974
MEM 28.144531 1650175964.2074
MEM 36.328125 1650175964.3194
MEM 45.921875 1650175964.4284
MEM 78.378906 1650175964.5394
MEM 82.492188 1650175964.6494
MEM 100.835938 1650175964.7614
MEM 83.589844 1650175964.8734
MEM 83.652344 1650175964.9854
MEM 90.980469 1650175965.0964
MEM 83.652344 1650175965.2054
MEM 83.652344 1650175965.3174
MEM 83.656250 1650175965.4284
MEM 101.796875 1650175965.5394
MEM 83.656250 1650175965.6484
MEM 63.496094 1650175965.7594
MEM 83.656250 1650175965.8714
MEM 96.347656 1650175965.9804
MEM 83.656250 1650175966.0914
MEM 83.656250 1650175966.2024
MEM 90.984375 1650175966.3134
MEM 83.656250 1650175966.4254
MEM 83.656250 1650175966.5364
MEM 90.992188 1650175966.6474
MEM 106.609375 1650175966.7584
MEM 86.449219 1650175966.8694
MEM 72.425781 1650175966.9794
MEM 83.667969 1650175967.0904
MEM 101.250000 1650175967.2004
MEM 83.667969 1650175967.3124
MEM 83.667969 1650175967.4234
MEM 90.996094 1650175967.5344
MEM 83.667969 1650175967.6454
MEM 83.667969 1650175967.7574
MEM 83.667969 1650175967.8674
MEM 111.457031 1650175967.9784
MEM 88.820312 1650175968.0884
MEM 82.863281 1650175968.1994
MEM 83.667969 1650175968.3114
MEM 90.996094 1650175968.4214
MEM 83.667969 1650175968.5324
MEM 83.667969 1650175968.6444
MEM 90.996094 1650175968.7554
MEM 92.613281 1650175968.8674
MEM 83.667969 1650175968.9764
MEM 57.359375 1650175969.0884
MEM 83.667969 1650175969.1974
MEM 90.562500 1650175969.3084
MEM 79.417969 1650175969.4194
MEM 83.667969 1650175969.5304
MEM 102.984375 1650175969.6424
MEM 83.667969 1650175969.7524
MEM 83.667969 1650175969.8624
MEM 90.996094 1650175969.9744
MEM 83.667969 1650175970.0854
MEM 83.667969 1650175970.1964
MEM 90.996094 1650175970.3064
MEM 101.953125 1650175970.4164
MEM 83.667969 1650175970.5274
MEM 65.867188 1650175970.6394
MEM 83.667969 1650175970.7504
MEM 99.363281 1650175970.8624
MEM 83.667969 1650175970.9724
MEM 83.667969 1650175971.0844
MEM 90.996094 1650175971.1964
MEM 83.667969 1650175971.3074
MEM 83.667969 1650175971.4174
MEM 90.996094 1650175971.5274
MEM 92.546875 1650175971.6384
MEM 83.667969 1650175971.7494
MEM 57.839844 1650175971.8594
MEM 83.753906 1650175971.9694
MEM 95.875000 1650175972.0794
MEM 83.753906 1650175972.1904
MEM 83.667969 1650175972.3014
MEM 90.996094 1650175972.4104
MEM 83.667969 1650175972.5204
MEM 83.667969 1650175972.6324
MEM 90.996094 1650175972.7444
MEM 104.074219 1650175972.8544
MEM 86.500000 1650175972.9654
MEM 71.339844 1650175973.0764
MEM 83.667969 1650175973.1874
MEM 102.230469 1650175973.2984
MEM 83.667969 1650175973.4104
MEM 83.667969 1650175973.5194
MEM 90.996094 1650175973.6314
MEM 83.667969 1650175973.7424
MEM 83.667969 1650175973.8534
MEM 83.667969 1650175973.9644
MEM 83.667969 1650175974.0764
MEM 90.593750 1650175974.1864
MEM 83.105469 1650175974.2974
MEM 83.667969 1650175974.4094
MEM 105.542969 1650175974.5174
MEM 83.667969 1650175974.6264
MEM 83.667969 1650175974.7374
MEM 90.996094 1650175974.8484
MEM 91.894531 1650175974.9594
MEM 83.667969 1650175975.0694
MEM 83.667969 1650175975.1794
MEM 83.667969 1650175975.2904
MEM 91.074219 1650175975.4014
MEM 80.902344 1650175975.5124
MEM 83.667969 1650175975.6224
MEM 104.406250 1650175975.7344
MEM 83.667969 1650175975.8454
MEM 83.667969 1650175975.9564
MEM 90.996094 1650175976.0654
MEM 83.667969 1650175976.1774
MEM 83.667969 1650175976.2884
MEM 83.667969 1650175976.3984
MEM 109.226562 1650175976.5104
MEM 87.699219 1650175976.6204
MEM 73.382812 1650175976.7294
MEM 83.667969 1650175976.8414
MEM 100.285156 1650175976.9514
MEM 83.667969 1650175977.0624
MEM 83.667969 1650175977.1744
MEM 90.996094 1650175977.2854
MEM 83.667969 1650175977.3964
MEM 83.667969 1650175977.5074
MEM 83.667969 1650175977.6184
MEM 105.937500 1650175977.7294
MEM 85.203125 1650175977.8394
MEM 69.390625 1650175977.9504
MEM 83.667969 1650175978.0614
MEM 97.789062 1650175978.1724
MEM 83.667969 1650175978.2814
MEM 83.667969 1650175978.3924
MEM 90.996094 1650175978.5034
MEM 83.667969 1650175978.6144
MEM 83.667969 1650175978.7244
MEM 90.996094 1650175978.8354
MEM 92.941406 1650175978.9464
MEM 83.667969 1650175979.0564
MEM 59.066406 1650175979.1683
MEM 83.667969 1650175979.2793
MEM 94.648438 1650175979.3903
MEM 83.750000 1650175979.5013
MEM 83.667969 1650175979.6113
MEM 96.710938 1650175979.7203
MEM 83.667969 1650175979.8313
MEM 83.667969 1650175979.9423
MEM 90.996094 1650175980.0533
MEM 89.468750 1650175980.1643
MEM 83.667969 1650175980.2753
MEM 61.421875 1650175980.3863
MEM 83.667969 1650175980.4973
MEM 93.523438 1650175980.6093
MEM 83.753906 1650175980.7193
MEM 83.667969 1650175980.8293
MEM 90.996094 1650175980.9393
MEM 83.667969 1650175981.0513
MEM 83.667969 1650175981.1623
MEM 90.996094 1650175981.2733
MEM 103.621094 1650175981.3853
MEM 83.894531 1650175981.4963
