CMDLINE python mtest_matplotlib.py
MEM 1.488281 1650175998.4704
MEM 17.753906 1650175998.5725
MEM 28.359375 1650175998.6844
MEM 37.832031 1650175998.7965
MEM 46.566406 1650175998.9075
MEM 61.128906 1650175999.0194
MEM 73.222656 1650175999.1294
MEM 97.753906 1650175999.2394
MEM 117.214844 1650175999.3504
MEM 109.957031 1650175999.4605
MEM 131.691406 1650175999.5704
MEM 132.210938 1650175999.6814
MEM 146.753906 1650175999.7924
MEM 161.484375 1650175999.9024
MEM 154.222656 1650176000.0144
MEM 182.593750 1650176000.1264
MEM 175.480469 1650176000.2374
MEM 196.597656 1650176000.3494
MEM 204.378906 1650176000.4594
MEM 204.695312 1650176000.5705
MEM 225.609375 1650176000.6815
MEM 218.429688 1650176000.7924
MEM 239.250000 1650176000.9034
MEM 239.753906 1650176001.0125
MEM 247.574219 1650176001.1234
MEM 268.523438 1650176001.2344
MEM 261.261719 1650176001.3454
MEM 282.468750 1650176001.4554
MEM 283.000000 1650176001.5664
MEM 142.843750 1650176001.6774
MEM 121.691406 1650176001.7894
MEM 114.574219 1650176001.9005
MEM 135.156250 1650176002.0104
MEM 143.593750 1650176002.1214
MEM 136.335938 1650176002.2325
MEM 164.523438 1650176002.3434
MEM 157.351562 1650176002.4544
MEM 177.734375 1650176002.5644
MEM 185.542969 1650176002.6754
MEM 185.574219 1650176002.7865
MEM 206.273438 1650176002.8956
MEM 199.015625 1650176003.0074
MEM 219.480469 1650176003.1184
MEM 219.980469 1650176003.2294
MEM 240.218750 1650176003.3404
MEM 248.078125 1650176003.4504
MEM 240.832031 1650176003.5614
MEM 268.859375 1650176003.6724
MEM 261.718750 1650176003.7824
MEM 281.589844 1650176003.8924
MEM 289.757812 1650176004.0024
MEM 290.082031 1650176004.1144
MEM 311.218750 1650176004.2254
MEM 304.027344 1650176004.3374
MEM 325.289062 1650176004.4474
MEM 333.109375 1650176004.5584
MEM 325.800781 1650176004.6694
MEM 116.496094 1650176004.7814
MEM 117.000000 1650176004.8924
MEM 127.265625 1650176005.0024
MEM 144.500000 1650176005.1134
MEM 137.242188 1650176005.2255
MEM 157.757812 1650176005.3364
MEM 158.265625 1650176005.4474
MEM 178.808594 1650176005.5574
MEM 186.562500 1650176005.6674
MEM 179.351562 1650176005.7794
MEM 207.148438 1650176005.8915
MEM 199.988281 1650176006.0034
MEM 220.343750 1650176006.1134
MEM 228.160156 1650176006.2234
MEM 228.191406 1650176006.3354
MEM 248.652344 1650176006.4465
MEM 241.394531 1650176006.5554
MEM 261.710938 1650176006.6674
MEM 262.214844 1650176006.7794
MEM 282.730469 1650176006.8914
MEM 290.632812 1650176007.0014
MEM 283.382812 1650176007.1124
MEM 311.253906 1650176007.2224
MEM 304.144531 1650176007.3324
MEM 324.523438 1650176007.4434
MEM 332.308594 1650176007.5534
MEM 325.105469 1650176007.6645
MEM 115.703125 1650176007.7754
MEM 123.648438 1650176007.8865
MEM 123.707031 1650176007.9984
MEM 144.593750 1650176008.1094
MEM 137.410156 1650176008.2214
MEM 155.289062 1650176008.3334
MEM 165.453125 1650176008.4424
MEM 165.464844 1650176008.5545
MEM 186.417969 1650176008.6634
MEM 179.160156 1650176008.7744
MEM 199.246094 1650176008.8854
MEM 199.746094 1650176008.9965
MEM 215.074219 1650176009.1074
MEM 228.281250 1650176009.2184
MEM 221.015625 1650176009.3294
MEM 248.773438 1650176009.4394
MEM 241.937500 1650176009.5474
MEM 261.964844 1650176009.6584
MEM 269.777344 1650176009.7684
MEM 262.546875 1650176009.8785
MEM 290.554688 1650176009.9894
MEM 283.390625 1650176010.1015
MEM 302.289062 1650176010.2114
MEM 311.539062 1650176010.3224
MEM 311.621094 1650176010.4345
MEM 332.796875 1650176010.5454
MEM 325.542969 1650176010.6574
MEM 104.128906 1650176010.7694
MEM 124.265625 1650176010.8814
MEM 117.007812 1650176010.9924
MEM 137.710938 1650176011.1024
MEM 138.203125 1650176011.2144
MEM 158.546875 1650176011.3264
MEM 166.308594 1650176011.4364
MEM 159.050781 1650176011.5465
MEM 186.996094 1650176011.6584
MEM 179.851562 1650176011.7694
MEM 199.964844 1650176011.8794
MEM 207.777344 1650176011.9884
MEM 207.804688 1650176012.0995
MEM 228.585938 1650176012.2084
MEM 221.398438 1650176012.3195
MEM 241.589844 1650176012.4294
MEM 242.089844 1650176012.5394
MEM 249.460938 1650176012.6495
MEM 270.542969 1650176012.7604
MEM 263.285156 1650176012.8714
MEM 285.781250 1650176012.9825
MEM 283.863281 1650176013.0934
MEM 304.519531 1650176013.2044
MEM 312.277344 1650176013.3144
MEM 305.101562 1650176013.4255
MEM 333.781250 1650176013.5354
MEM 326.628906 1650176013.6464
MEM 103.292969 1650176013.7584
MEM 124.261719 1650176013.8704
MEM 117.074219 1650176013.9814
MEM 137.210938 1650176014.0934
MEM 137.718750 1650176014.2034
MEM 146.542969 1650176014.3134
MEM 165.773438 1650176014.4244
MEM 158.515625 1650176014.5344
MEM 179.500000 1650176014.6455
MEM 179.476562 1650176014.7534
MEM 199.878906 1650176014.8644
MEM 207.644531 1650176014.9754
MEM 200.390625 1650176015.0854
MEM 228.265625 1650176015.1964
MEM 221.132812 1650176015.3074
MEM 240.992188 1650176015.4174
MEM 249.277344 1650176015.5284
MEM 249.320312 1650176015.6385
MEM 269.984375 1650176015.7494
MEM 262.726562 1650176015.8614
MEM 283.410156 1650176015.9724
MEM 283.902344 1650176016.0844
MEM 304.398438 1650176016.1954
MEM 312.160156 1650176016.3064
MEM 304.925781 1650176016.4184
MEM 333.062500 1650176016.5284
MEM 325.910156 1650176016.6394
MEM 103.675781 1650176016.7514
MEM 124.621094 1650176016.8615
MEM 117.433594 1650176016.9725
MEM 138.078125 1650176017.0824
MEM 138.574219 1650176017.1944
MEM 145.914062 1650176017.3055
MEM 167.027344 1650176017.4164
MEM 159.769531 1650176017.5284
MEM 180.269531 1650176017.6394
MEM 180.765625 1650176017.7504
MEM 201.355469 1650176017.8614
MEM 209.121094 1650176017.9724
MEM 201.878906 1650176018.0834
MEM 230.417969 1650176018.1934
MEM 223.281250 1650176018.3044
MEM 243.601562 1650176018.4144
MEM 251.519531 1650176018.5254
MEM 247.359375 1650176018.6365
MEM 272.597656 1650176018.7464
MEM 265.429688 1650176018.8574
MEM 285.941406 1650176018.9694
MEM 293.835938 1650176019.0794
MEM 293.863281 1650176019.1905
MEM 314.636719 1650176019.3014
MEM 307.445312 1650176019.4134
MEM 328.421875 1650176019.5234
MEM 336.222656 1650176019.6344
MEM 328.914062 1650176019.7464
MEM 116.296875 1650176019.8564
MEM 116.804688 1650176019.9674
MEM 137.140625 1650176020.0784
MEM 144.906250 1650176020.1894
MEM 137.660156 1650176020.3005
MEM 165.761719 1650176020.4114
MEM 158.640625 1650176020.5214
MEM 178.800781 1650176020.6324
MEM 186.699219 1650176020.7444
MEM 186.765625 1650176020.8565
MEM 207.714844 1650176020.9664
MEM 200.519531 1650176021.0764
MEM 220.503906 1650176021.1884
MEM 221.000000 1650176021.2995
MEM 236.316406 1650176021.4114
MEM 249.507812 1650176021.5214
MEM 242.242188 1650176021.6325
MEM 262.652344 1650176021.7434
MEM 263.179688 1650176021.8544
MEM 283.867188 1650176021.9664
MEM 291.636719 1650176022.0764
MEM 284.378906 1650176022.1875
MEM 312.242188 1650176022.2984
MEM 305.113281 1650176022.4094
MEM 325.207031 1650176022.5204
MEM 333.062500 1650176022.6315
MEM 325.863281 1650176022.7414
MEM 112.890625 1650176022.8534
MEM 125.203125 1650176022.9644
MEM 125.273438 1650176023.0764
MEM 145.882812 1650176023.1884
MEM 138.621094 1650176023.2984
MEM 158.722656 1650176023.4084
MEM 159.222656 1650176023.5184
MEM 171.667969 1650176023.6304
MEM 187.070312 1650176023.7405
MEM 179.816406 1650176023.8515
MEM 207.722656 1650176023.9614
MEM 200.730469 1650176024.0734
MEM 220.507812 1650176024.1834
MEM 228.367188 1650176024.2954
MEM 221.089844 1650176024.4064
MEM 249.285156 1650176024.5165
MEM 242.167969 1650176024.6274
MEM 262.488281 1650176024.7384
MEM 270.257812 1650176024.8484
MEM 263.097656 1650176024.9605
MEM 291.660156 1650176025.0714
MEM 284.488281 1650176025.1834
MEM 304.878906 1650176025.2954
MEM 312.691406 1650176025.4064
MEM 312.726562 1650176025.5165
MEM 333.628906 1650176025.6274
MEM 326.371094 1650176025.7394
MEM 115.539062 1650176025.8504
MEM 124.843750 1650176025.9595
MEM 117.550781 1650176026.0714
MEM 145.218750 1650176026.1824
MEM 138.101562 1650176026.2924
MEM 158.703125 1650176026.4014
MEM 166.464844 1650176026.5135
MEM 159.359375 1650176026.6244
