CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_simpleplots.py
MEM 1.464844 1644774167.0478
MEM 17.156250 1644774167.1519
MEM 27.812500 1644774167.2630
MEM 35.027344 1644774167.3751
MEM 44.539062 1644774167.4872
MEM 73.074219 1644774167.5990
MEM 81.992188 1644774167.7101
MEM 90.128906 1644774167.8222
MEM 83.101562 1644774167.9333
MEM 83.101562 1644774168.0444
MEM 83.324219 1644774168.1565
MEM 83.406250 1644774168.2686
MEM 98.441406 1644774168.3807
MEM 83.328125 1644774168.4928
MEM 83.328125 1644774168.6049
MEM 90.656250 1644774168.7180
MEM 106.140625 1644774168.8301
MEM 91.144531 1644774168.9402
MEM 83.328125 1644774169.0513
MEM 83.328125 1644774169.1624
MEM 90.656250 1644774169.2735
MEM 83.328125 1644774169.3846
MEM 86.511719 1644774169.4967
MEM 71.945312 1644774169.6078
MEM 83.355469 1644774169.7199
MEM 90.683594 1644774169.8320
MEM 83.355469 1644774169.9431
MEM 83.355469 1644774170.0552
MEM 83.542969 1644774170.1663
MEM 83.542969 1644774170.2785
MEM 102.980469 1644774170.3906
MEM 83.542969 1644774170.5017
MEM 83.542969 1644774170.6138
MEM 85.324219 1644774170.7329
MEM 83.542969 1644774170.8370
MEM 96.472656 1644774170.9481
MEM 83.542969 1644774171.0602
MEM 83.542969 1644774171.1723
MEM 90.871094 1644774171.2844
MEM 95.773438 1644774171.3955
MEM 83.542969 1644774171.5076
MEM 61.195312 1644774171.6197
MEM 83.542969 1644774171.7318
MEM 90.871094 1644774171.8429
MEM 83.542969 1644774171.9540
MEM 83.542969 1644774172.0641
MEM 83.542969 1644774172.1762
MEM 83.628906 1644774172.2883
MEM 98.011719 1644774172.4004
MEM 83.542969 1644774172.5115
MEM 83.542969 1644774172.6406
MEM 90.871094 1644774172.7597
MEM 89.281250 1644774172.8628
MEM 85.066406 1644774172.9739
MEM 69.765625 1644774173.0860
MEM 83.542969 1644774173.2011
MEM 90.871094 1644774173.3102
MEM 83.542969 1644774173.4223
MEM 83.542969 1644774173.5334
MEM 90.871094 1644774173.6435
MEM 103.765625 1644774173.7526
MEM 91.039062 1644774173.8627
MEM 81.156250 1644774173.9728
MEM 83.542969 1644774174.0849
MEM 90.871094 1644774174.1970
MEM 83.542969 1644774174.3071
MEM 83.542969 1644774174.4152
MEM 83.542969 1644774174.5254
MEM 83.542969 1644774174.6370
MEM 96.312500 1644774174.7491
MEM 83.542969 1644774174.8612
MEM 83.542969 1644774174.9723
MEM 90.871094 1644774175.0836
MEM 97.074219 1644774175.1948
MEM 84.406250 1644774175.3059
MEM 64.992188 1644774175.4160
MEM 83.542969 1644774175.5271
MEM 102.054688 1644774175.6392
MEM 83.542969 1644774175.7513
MEM 83.542969 1644774175.8634
MEM 90.871094 1644774175.9755
MEM 83.542969 1644774176.0996
MEM 94.718750 1644774176.1997
MEM 83.628906 1644774176.3118
MEM 83.542969 1644774176.4229
MEM 90.871094 1644774176.5340
MEM 100.562500 1644774176.6461
MEM 89.156250 1644774176.7576
MEM 82.812500 1644774176.8697
MEM 83.605469 1644774176.9818
MEM 90.933594 1644774177.0926
MEM 83.605469 1644774177.2047
MEM 83.605469 1644774177.3169
MEM 54.304688 1644774177.4290
MEM 83.605469 1644774177.5401
MEM 102.503906 1644774177.6522
MEM 83.605469 1644774177.7643
MEM 83.605469 1644774177.8764
MEM 90.933594 1644774177.9905
MEM 83.605469 1644774178.1126
MEM 104.113281 1644774178.2277
MEM 83.605469 1644774178.3388
MEM 83.605469 1644774178.4499
MEM 90.933594 1644774178.5630
MEM 83.691406 1644774178.6831
MEM 95.132812 1644774178.7842
MEM 83.691406 1644774178.8963
MEM 83.605469 1644774179.0084
MEM 90.933594 1644774179.1205
MEM 96.984375 1644774179.2326
MEM 88.699219 1644774179.3447
MEM 78.535156 1644774179.4568
MEM 83.605469 1644774179.5689
MEM 90.933594 1644774179.6810
MEM 83.605469 1644774179.7921
MEM 83.605469 1644774179.9042
MEM 83.605469 1644774180.0163
MEM 83.605469 1644774180.1284
MEM 103.734375 1644774180.2405
MEM 83.605469 1644774180.3526
MEM 83.605469 1644774180.4647
MEM 90.933594 1644774180.5808
MEM 83.691406 1644774180.6939
MEM 94.660156 1644774180.8000
MEM 83.691406 1644774180.9111
MEM 83.605469 1644774181.0232
MEM 90.933594 1644774181.1343
MEM 96.933594 1644774181.2464
MEM 88.375000 1644774181.3585
MEM 83.605469 1644774181.4706
MEM 83.605469 1644774181.5827
MEM 90.933594 1644774181.6948
MEM 83.605469 1644774181.8058
MEM 83.605469 1644774181.9179
MEM 65.933594 1644774182.0300
MEM 83.605469 1644774182.1421
MEM 90.933594 1644774182.2542
MEM 83.605469 1644774182.3653
MEM 83.605469 1644774182.4754
MEM 90.933594 1644774182.5845
MEM 97.531250 1644774182.6956
MEM 87.496094 1644774182.8067
MEM 80.992188 1644774182.9188
MEM 83.605469 1644774183.0309
MEM 90.933594 1644774183.1430
MEM 83.605469 1644774183.2551
MEM 83.605469 1644774183.3672
MEM 83.605469 1644774183.4803
MEM 83.605469 1644774183.6035
MEM 90.933594 1644774183.7186
MEM 83.605469 1644774183.8307
MEM 83.605469 1644774183.9418
MEM 83.605469 1644774184.0540
MEM 83.605469 1644774184.1781
MEM 90.933594 1644774184.2913
MEM 83.605469 1644774184.4034
MEM 83.605469 1644774184.5145
MEM 83.605469 1644774184.6266
MEM 83.687500 1644774184.7387
MEM 99.109375 1644774184.8508
MEM 83.605469 1644774184.9629
MEM 83.605469 1644774185.0750
MEM 90.933594 1644774185.1881
MEM 106.773438 1644774185.3032
MEM 87.316406 1644774185.4083
MEM 74.039062 1644774185.5204
MEM 83.605469 1644774185.6325
MEM 90.933594 1644774185.7446
MEM 83.605469 1644774185.8567
MEM 83.605469 1644774185.9688
MEM 83.605469 1644774186.0809
MEM 83.605469 1644774186.1930
MEM 103.074219 1644774186.3051
MEM 83.605469 1644774186.4172
MEM 83.605469 1644774186.5293
MEM 90.933594 1644774186.6397
MEM 102.394531 1644774186.7508
MEM 90.894531 1644774186.8619
MEM 82.085938 1644774186.9740
MEM 83.605469 1644774187.0861
MEM 90.933594 1644774187.1992
MEM 83.605469 1644774187.3143
MEM 83.605469 1644774187.4224
MEM 61.632812 1644774187.5345
MEM 83.605469 1644774187.6466
MEM 90.933594 1644774187.7587
MEM 83.605469 1644774187.8708
MEM 83.605469 1644774187.9829
MEM 83.605469 1644774188.0940
MEM 83.691406 1644774188.2061
MEM 97.578125 1644774188.3182
MEM 83.605469 1644774188.4293
MEM 83.605469 1644774188.5404
MEM 90.933594 1644774188.6525
MEM 94.710938 1644774188.7640
MEM 85.914062 1644774188.8761
MEM 78.804688 1644774188.9913
MEM 83.605469 1644774189.1105
MEM 90.933594 1644774189.2115
MEM 83.605469 1644774189.3229
MEM 83.605469 1644774189.4350
MEM 83.605469 1644774189.5471
MEM 112.167969 1644774189.6572
MEM 93.988281 1644774189.7693
MEM 83.691406 1644774189.8814
MEM 83.605469 1644774189.9935
MEM 90.933594 1644774190.1056
MEM 83.605469 1644774190.2167
MEM 83.605469 1644774190.3288
MEM 63.238281 1644774190.4409
MEM 83.605469 1644774190.5520
MEM 90.933594 1644774190.6631
MEM 83.605469 1644774190.7751
MEM 83.605469 1644774190.8872
MEM 83.605469 1644774191.0013
MEM 83.605469 1644774191.1224
MEM 96.554688 1644774191.2235
MEM 83.605469 1644774191.3356
MEM 83.605469 1644774191.4467
MEM 90.933594 1644774191.5588
MEM 91.101562 1644774191.6709
MEM 87.585938 1644774191.7820
MEM 78.882812 1644774191.8931
MEM 83.605469 1644774192.0052
MEM 90.933594 1644774192.1173
MEM 86.187500 1644774192.2294
MEM 83.773438 1644774192.3405
MEM 62.265625 1644774192.4516
MEM 83.605469 1644774192.5637
MEM 90.933594 1644774192.6748
MEM 83.605469 1644774192.7853
MEM 83.605469 1644774192.8960
MEM 83.605469 1644774193.0081
MEM 83.605469 1644774193.1312
MEM 103.886719 1644774193.2443
MEM 83.605469 1644774193.3564
MEM 83.605469 1644774193.4685
MEM 83.605469 1644774193.5806
MEM 83.691406 1644774193.6987
MEM 97.699219 1644774193.8046
MEM 83.605469 1644774193.9156
MEM 83.605469 1644774194.0277
MEM 90.933594 1644774194.1388
MEM 106.015625 1644774194.2509
MEM 91.179688 1644774194.3630
MEM 83.605469 1644774194.4752
MEM 83.605469 1644774194.5873
MEM 90.933594 1644774194.6994
MEM 83.605469 1644774194.8106
MEM 83.605469 1644774194.9227
MEM 83.605469 1644774195.0348
MEM 83.605469 1644774195.1469
MEM 101.730469 1644774195.2583
MEM 83.605469 1644774195.3704
MEM 83.605469 1644774195.4819
MEM 90.933594 1644774195.5970
MEM 83.687500 1644774195.7151
MEM 92.660156 1644774195.8172
MEM 83.691406 1644774195.9293
MEM 83.605469 1644774196.0414
MEM 90.933594 1644774196.1535
MEM 90.375000 1644774196.2656
MEM 83.605469 1644774196.3777
MEM 83.609375 1644774196.4888
