CMDLINE python mtest_dates_simpleplots.py
MEM 108.007812 1650190285.0236
MEM 86.046875 1650190285.1336
MEM 60.406250 1650190285.2436
MEM 115.347656 1650190285.3526
MEM 86.046875 1650190285.4606
MEM 82.558594 1650190285.5676
MEM 107.402344 1650190285.6736
MEM 86.046875 1650190285.7796
MEM 56.746094 1650190285.8866
MEM 108.171875 1650190285.9926
MEM 86.046875 1650190286.0996
MEM 86.046875 1650190286.2076
MEM 104.738281 1650190286.3156
MEM 86.046875 1650190286.4216
MEM 86.046875 1650190286.5296
MEM 86.046875 1650190286.6386
MEM 88.007812 1650190286.7456
MEM 64.609375 1650190286.8536
MEM 94.519531 1650190286.9616
MEM 89.050781 1650190287.0706
MEM 67.664062 1650190287.1785
MEM 86.046875 1650190287.2855
MEM 87.976562 1650190287.3935
MEM 66.781250 1650190287.5025
MEM 86.046875 1650190287.6105
MEM 88.500000 1650190287.7175
MEM 68.441406 1650190287.8235
MEM 86.046875 1650190287.9305
MEM 91.867188 1650190288.0375
MEM 73.363281 1650190288.1445
MEM 86.046875 1650190288.2505
MEM 89.859375 1650190288.3585
MEM 69.082031 1650190288.4655
MEM 86.046875 1650190288.5725
MEM 88.312500 1650190288.6775
MEM 73.785156 1650190288.7845
MEM 86.046875 1650190288.8925
MEM 91.085938 1650190288.9995
MEM 68.339844 1650190289.1055
MEM 113.445312 1650190289.2125
MEM 87.296875 1650190289.3195
MEM 63.710938 1650190289.4275
MEM 99.449219 1650190289.5335
MEM 87.566406 1650190289.6415
MEM 67.015625 1650190289.7485
MEM 86.046875 1650190289.8545
MEM 88.855469 1650190289.9615
MEM 69.460938 1650190290.0675
MEM 86.046875 1650190290.1765
MEM 89.218750 1650190290.2835
MEM 67.304688 1650190290.3905
MEM 86.046875 1650190290.4995
MEM 88.914062 1650190290.6075
MEM 68.824219 1650190290.7150
MEM 107.460938 1650190290.8220
MEM 88.703125 1650190290.9315
MEM 65.300781 1650190291.0366
MEM 113.363281 1650190291.1436
MEM 87.906250 1650190291.2547
MEM 63.621094 1650190291.3637
MEM 86.046875 1650190291.4737
MEM 91.195312 1650190291.5837
MEM 75.343750 1650190291.6934
MEM 86.046875 1650190291.8004
MEM 93.988281 1650190291.9094
MEM 86.046875 1650190292.0184
MEM 86.132812 1650190292.1284
MEM 97.320312 1650190292.2364
MEM 86.054688 1650190292.3444
MEM 86.140625 1650190292.4554
MEM 101.613281 1650190292.5644
MEM 86.140625 1650190292.6744
MEM 86.054688 1650190292.7844
MEM 106.324219 1650190292.8924
MEM 86.140625 1650190293.0014
MEM 86.054688 1650190293.1104
MEM 105.042969 1650190293.2189
MEM 86.140625 1650190293.3289
MEM 86.054688 1650190293.4379
MEM 93.382812 1650190293.5479
MEM 86.140625 1650190293.6559
MEM 86.054688 1650190293.7659
MEM 93.382812 1650190293.8749
MEM 86.054688 1650190293.9839
MEM 86.054688 1650190294.0899
MEM 93.382812 1650190294.1979
MEM 86.054688 1650190294.3079
MEM 86.054688 1650190294.4169
MEM 93.382812 1650190294.5269
MEM 86.054688 1650190294.6349
MEM 86.054688 1650190294.7429
MEM 93.382812 1650190294.8519
MEM 86.054688 1650190294.9619
MEM 86.054688 1650190295.0709
MEM 93.382812 1650190295.1809
MEM 86.054688 1650190295.2909
MEM 86.054688 1650190295.3979
MEM 93.382812 1650190295.5069
