CMDLINE python mtest_dates_matplotlib.py
MEM 1.488281 1650190314.1111
MEM 19.121094 1650190314.2191
MEM 28.656250 1650190314.3281
MEM 36.589844 1650190314.4361
MEM 46.867188 1650190314.5441
MEM 61.687500 1650190314.6531
MEM 72.781250 1650190314.7611
MEM 80.082031 1650190314.8681
MEM 109.214844 1650190314.9771
MEM 117.449219 1650190315.0851
MEM 110.269531 1650190315.1921
MEM 131.609375 1650190315.3001
MEM 139.585938 1650190315.4071
MEM 132.324219 1650190315.5141
MEM 153.320312 1650190315.6231
MEM 153.832031 1650190315.7301
MEM 161.597656 1650190315.8381
MEM 183.000000 1650190315.9451
MEM 175.867188 1650190316.0531
MEM 183.746094 1650190316.1611
MEM 204.714844 1650190316.2701
MEM 197.519531 1650190316.3771
MEM 218.234375 1650190316.4861
MEM 225.992188 1650190316.5931
MEM 218.734375 1650190316.6991
MEM 238.761719 1650190316.8071
MEM 247.574219 1650190316.9161
MEM 240.414062 1650190317.0221
MEM 261.539062 1650190317.1281
MEM 262.031250 1650190317.2341
MEM 268.308594 1650190317.3411
MEM 290.652344 1650190317.4481
MEM 283.542969 1650190317.5551
MEM 208.785156 1650190317.6631
MEM 115.812500 1650190317.7721
MEM 116.335938 1650190317.8811
MEM 119.472656 1650190317.9891
MEM 144.222656 1650190318.0971
MEM 137.105469 1650190318.2061
MEM 144.429688 1650190318.3151
MEM 165.375000 1650190318.4231
MEM 158.179688 1650190318.5301
MEM 178.324219 1650190318.6381
MEM 186.214844 1650190318.7461
MEM 178.960938 1650190318.8531
MEM 199.851562 1650190318.9591
MEM 207.613281 1650190319.0681
MEM 200.359375 1650190319.1761
MEM 220.589844 1650190319.2821
MEM 228.402344 1650190319.3901
MEM 221.128906 1650190319.4971
MEM 249.625000 1650190319.6041
MEM 242.511719 1650190319.7111
MEM 249.875000 1650190319.8181
MEM 270.289062 1650190319.9261
MEM 263.105469 1650190320.0331
MEM 283.414062 1650190320.1410
MEM 291.386719 1650190320.2500
MEM 284.128906 1650190320.3580
MEM 305.234375 1650190320.4680
MEM 313.007812 1650190320.5780
MEM 305.746094 1650190320.6870
MEM 326.828125 1650190320.7930
MEM 334.582031 1650190320.9010
MEM 327.320312 1650190321.0100
MEM 104.535156 1650190321.1160
MEM 125.527344 1650190321.2220
MEM 118.339844 1650190321.3320
MEM 138.261719 1650190321.4390
MEM 146.140625 1650190321.5460
MEM 138.886719 1650190321.6560
MEM 159.582031 1650190321.7590
MEM 167.347656 1650190321.8670
MEM 160.089844 1650190321.9740
MEM 180.210938 1650190322.0800
MEM 188.101562 1650190322.1870
MEM 180.843750 1650190322.2920
MEM 201.328125 1650190322.3990
MEM 209.519531 1650190322.5070
MEM 202.257812 1650190322.6160
MEM 222.714844 1650190322.7230
MEM 230.464844 1650190322.8300
MEM 223.207031 1650190322.9390
MEM 243.425781 1650190323.0470
MEM 251.187500 1650190323.1530
MEM 243.949219 1650190323.2620
MEM 264.500000 1650190323.3690
MEM 272.324219 1650190323.4770
MEM 265.031250 1650190323.5830
MEM 285.312500 1650190323.6910
MEM 285.816406 1650190323.7980
MEM 293.183594 1650190323.9060
MEM 313.730469 1650190324.0130
MEM 306.593750 1650190324.1200
MEM 313.953125 1650190324.2270
MEM 334.765625 1650190324.3340
MEM 327.589844 1650190324.4410
MEM 215.156250 1650190324.5470
MEM 117.910156 1650190324.6550
MEM 125.742188 1650190324.7630
MEM 118.457031 1650190324.8700
MEM 138.546875 1650190324.9780
MEM 139.046875 1650190325.0870
MEM 139.050781 1650190325.1950
MEM 166.953125 1650190325.3030
MEM 159.847656 1650190325.4120
MEM 167.171875 1650190325.5190
MEM 187.824219 1650190325.6280
MEM 180.566406 1650190325.7350
MEM 201.234375 1650190325.8440
MEM 209.039062 1650190325.9510
MEM 201.781250 1650190326.0600
MEM 222.101562 1650190326.1680
MEM 229.917969 1650190326.2750
MEM 222.613281 1650190326.3830
MEM 250.339844 1650190326.4920
MEM 243.507812 1650190326.6020
MEM 250.886719 1650190326.7100
MEM 271.718750 1650190326.8170
MEM 264.535156 1650190326.9250
MEM 284.906250 1650190327.0340
MEM 292.671875 1650190327.1400
MEM 285.414062 1650190327.2490
MEM 305.640625 1650190327.3560
MEM 313.445312 1650190327.4620
MEM 306.191406 1650190327.5710
MEM 326.441406 1650190327.6790
MEM 327.023438 1650190327.7880
MEM 327.152344 1650190327.8960
MEM 117.988281 1650190328.0020
MEM 125.894531 1650190328.1100
MEM 118.640625 1650190328.2170
MEM 138.867188 1650190328.3260
MEM 146.757812 1650190328.4320
MEM 139.480469 1650190328.5400
MEM 159.613281 1650190328.6470
MEM 160.187500 1650190328.7540
MEM 167.550781 1650190328.8610
MEM 188.394531 1650190328.9690
MEM 181.250000 1650190329.0750
MEM 188.652344 1650190329.1830
MEM 209.515625 1650190329.2900
MEM 202.257812 1650190329.4000
MEM 222.757812 1650190329.5070
MEM 230.621094 1650190329.6150
MEM 223.359375 1650190329.7220
MEM 243.968750 1650190329.8310
MEM 251.875000 1650190329.9380
MEM 244.617188 1650190330.0470
MEM 272.562500 1650190330.1550
MEM 265.449219 1650190330.2630
MEM 272.886719 1650190330.3710
MEM 293.613281 1650190330.4780
MEM 286.425781 1650190330.5830
MEM 300.625000 1650190330.6900
MEM 315.082031 1650190330.7970
MEM 307.816406 1650190330.9030
MEM 327.968750 1650190331.0090
MEM 336.089844 1650190331.1160
MEM 328.832031 1650190331.2230
MEM 105.300781 1650190331.3290
MEM 125.667969 1650190331.4340
MEM 118.515625 1650190331.5400
MEM 129.230469 1650190331.6470
MEM 146.855469 1650190331.7540
MEM 139.597656 1650190331.8590
MEM 159.539062 1650190331.9660
MEM 167.644531 1650190332.0740
MEM 160.382812 1650190332.1810
MEM 180.894531 1650190332.2880
MEM 188.859375 1650190332.3960
MEM 181.656250 1650190332.5050
MEM 201.527344 1650190332.6130
MEM 202.117188 1650190332.7200
MEM 209.503906 1650190332.8280
MEM 230.160156 1650190332.9360
MEM 223.027344 1650190333.0440
MEM 230.492188 1650190333.1510
MEM 251.132812 1650190333.2580
MEM 243.875000 1650190333.3670
MEM 264.535156 1650190333.4740
MEM 272.394531 1650190333.5820
MEM 265.140625 1650190333.6890
MEM 284.960938 1650190333.7950
MEM 292.847656 1650190333.9020
MEM 285.644531 1650190334.0090
MEM 313.542969 1650190334.1150
MEM 306.433594 1650190334.2220
MEM 313.867188 1650190334.3300
MEM 335.050781 1650190334.4390
MEM 327.871094 1650190334.5450
MEM 97.812500 1650190334.6520
MEM 118.191406 1650190334.7580
MEM 118.699219 1650190334.8640
MEM 126.070312 1650190334.9710
MEM 147.207031 1650190335.0780
MEM 140.089844 1650190335.1850
MEM 147.464844 1650190335.2930
MEM 168.160156 1650190335.4010
MEM 160.972656 1650190335.5090
MEM 181.519531 1650190335.6170
MEM 189.417969 1650190335.7250
MEM 182.160156 1650190335.8340
MEM 202.453125 1650190335.9430
MEM 210.328125 1650190336.0510
MEM 203.027344 1650190336.1580
MEM 230.789062 1650190336.2670
MEM 223.675781 1650190336.3750
MEM 231.074219 1650190336.4820
MEM 251.785156 1650190336.5890
MEM 244.593750 1650190336.6970
MEM 264.777344 1650190336.8060
MEM 272.960938 1650190336.9130
MEM 265.695312 1650190337.0210
MEM 286.308594 1650190337.1290
MEM 294.171875 1650190337.2360
MEM 286.914062 1650190337.3420
MEM 306.843750 1650190337.4490
MEM 314.726562 1650190337.5560
MEM 307.531250 1650190337.6620
MEM 328.140625 1650190337.7670
MEM 328.726562 1650190337.8720
MEM 328.820312 1650190337.9780
MEM 118.722656 1650190338.0860
MEM 127.101562 1650190338.1919
MEM 119.843750 1650190338.2989
MEM 139.363281 1650190338.4059
MEM 147.171875 1650190338.5129
MEM 139.863281 1650190338.6209
MEM 168.105469 1650190338.7289
MEM 160.996094 1650190338.8379
MEM 168.328125 1650190338.9469
MEM 189.449219 1650190339.0539
MEM 182.269531 1650190339.1609
MEM 202.703125 1650190339.2689
MEM 210.804688 1650190339.3769
MEM 203.546875 1650190339.4839
MEM 223.339844 1650190339.5889
MEM 231.339844 1650190339.6959
MEM 224.078125 1650190339.8039
MEM 244.648438 1650190339.9119
MEM 252.542969 1650190340.0199
MEM 245.269531 1650190340.1289
MEM 273.156250 1650190340.2379
MEM 266.046875 1650190340.3439
MEM 273.542969 1650190340.4519
MEM 294.804688 1650190340.5589
MEM 287.617188 1650190340.6679
MEM 305.539062 1650190340.7739
MEM 315.687500 1650190340.8829
MEM 308.429688 1650190340.9929
MEM 328.453125 1650190341.1029
MEM 336.359375 1650190341.2119
MEM 329.148438 1650190341.3199
MEM 111.937500 1650190341.4279
MEM 126.703125 1650190341.5379
MEM 119.437500 1650190341.6469
MEM 139.691406 1650190341.7569
MEM 147.527344 1650190341.8659
MEM 140.269531 1650190341.9749
MEM 160.906250 1650190342.0829
MEM 161.480469 1650190342.1919
MEM 168.839844 1650190342.3019
MEM 189.421875 1650190342.4119
MEM 182.289062 1650190342.5199
MEM 191.531250 1650190342.6289
MEM 210.707031 1650190342.7389
MEM 203.445312 1650190342.8480
MEM 224.097656 1650190342.9560
MEM 231.941406 1650190343.0650
MEM 224.683594 1650190343.1750
MEM 244.921875 1650190343.2850
MEM 245.500000 1650190343.3960
MEM 252.875000 1650190343.5050
MEM 273.468750 1650190343.6120
MEM 266.292969 1650190343.7220
MEM 286.890625 1650190343.8330
MEM 294.738281 1650190343.9420
MEM 287.480469 1650190344.0500
MEM 308.488281 1650190344.1590
MEM 316.367188 1650190344.2680
MEM 309.093750 1650190344.3770
MEM 329.324219 1650190344.4850
MEM 329.902344 1650190344.5920
MEM 329.914062 1650190344.7010
MEM 118.210938 1650190344.8080
MEM 126.167969 1650190344.9150
MEM 118.914062 1650190345.0220
MEM 139.152344 1650190345.1310
MEM 139.730469 1650190345.2400
MEM 139.812500 1650190345.3470
MEM 167.949219 1650190345.4550
MEM 160.835938 1650190345.5620
MEM 97.746094 1650190345.6710
