CMDLINE python mtest_dates_simpleplots.py
MEM 1.492188 1650192995.3968
MEM 19.132812 1650192995.5118
MEM 28.242188 1650192995.6208
MEM 35.593750 1650192995.7298
MEM 45.871094 1650192995.8378
MEM 84.160156 1650192995.9462
MEM 87.242188 1650192996.0542
MEM 87.957031 1650192996.1622
MEM 87.957031 1650192996.2692
MEM 112.226562 1650192996.3782
MEM 88.027344 1650192996.4873
MEM 88.527344 1650192996.5960
MEM 88.832031 1650192996.7060
MEM 88.832031 1650192996.8160
MEM 88.433594 1650192996.9260
MEM 89.031250 1650192997.0360
MEM 89.031250 1650192997.1440
MEM 96.164062 1650192997.2530
MEM 87.593750 1650192997.3620
MEM 88.296875 1650192997.4680
MEM 88.773438 1650192997.5770
MEM 88.773438 1650192997.6860
MEM 94.964844 1650192997.7970
MEM 88.863281 1650192997.9070
MEM 89.742188 1650192998.0160
MEM 89.742188 1650192998.1250
MEM 89.550781 1650192998.2330
MEM 89.863281 1650192998.3400
MEM 90.070312 1650192998.4480
MEM 90.070312 1650192998.5560
MEM 89.363281 1650192998.6650
MEM 88.566406 1650192998.7720
MEM 88.953125 1650192998.8780
MEM 89.152344 1650192998.9870
MEM 89.152344 1650192999.0940
MEM 88.957031 1650192999.2020
MEM 90.234375 1650192999.3090
MEM 89.703125 1650192999.4170
MEM 89.703125 1650192999.5250
MEM 89.609375 1650192999.6330
MEM 90.046875 1650192999.7410
MEM 90.046875 1650192999.8480
MEM 100.613281 1650192999.9550
MEM 86.218750 1650193000.0630
MEM 88.492188 1650193000.1700
MEM 88.984375 1650193000.2780
MEM 88.984375 1650193000.3860
MEM 90.136719 1650193000.4931
MEM 89.023438 1650193000.6010
MEM 89.363281 1650193000.7100
MEM 89.738281 1650193000.8190
MEM 89.738281 1650193000.9270
MEM 89.863281 1650193001.0340
MEM 90.050781 1650193001.1410
MEM 90.050781 1650193001.2500
MEM 96.691406 1650193001.3590
MEM 88.523438 1650193001.4690
MEM 88.812500 1650193001.5780
MEM 89.023438 1650193001.6870
MEM 89.023438 1650193001.7960
MEM 88.812500 1650193001.9050
MEM 89.195312 1650193002.0140
MEM 89.656250 1650193002.1210
MEM 89.656250 1650193002.2300
MEM 89.507812 1650193002.3390
MEM 89.914062 1650193002.4470
MEM 89.914062 1650193002.5550
MEM 91.023438 1650193002.6640
MEM 63.996094 1650193002.7720
MEM 88.828125 1650193002.8800
MEM 88.984375 1650193002.9880
MEM 88.984375 1650193003.0960
MEM 88.984375 1650193003.2060
MEM 89.093750 1650193003.3140
MEM 89.257812 1650193003.4210
MEM 89.609375 1650193003.5280
MEM 89.609375 1650193003.6360
MEM 90.289062 1650193003.7410
MEM 89.937500 1650193003.8480
MEM 89.937500 1650193003.9550
MEM 109.781250 1650193004.0630
MEM 88.296875 1650193004.1710
MEM 88.828125 1650193004.2810
MEM 89.023438 1650193004.3870
MEM 89.023438 1650193004.4970
MEM 88.828125 1650193004.6070
MEM 89.007812 1650193004.7150
MEM 89.628906 1650193004.8250
MEM 89.628906 1650193004.9340
MEM 89.445312 1650193005.0420
MEM 89.757812 1650193005.1510
MEM 89.925781 1650193005.2590
MEM 89.925781 1650193005.3660
MEM 89.257812 1650193005.4740
MEM 88.460938 1650193005.5820
MEM 88.828125 1650193005.6900
MEM 89.027344 1650193005.7980
MEM 89.027344 1650193005.9070
MEM 88.832031 1650193006.0160
MEM 90.382812 1650193006.1240
MEM 89.660156 1650193006.2320
MEM 89.660156 1650193006.3410
MEM 89.507812 1650193006.4510
MEM 89.937500 1650193006.5590
MEM 89.937500 1650193006.6690
MEM 107.777344 1650193006.7780
MEM 88.230469 1650193006.8870
MEM 88.828125 1650193006.9970
MEM 89.031250 1650193007.1060
MEM 89.031250 1650193007.2150
MEM 117.496094 1650193007.3250
MEM 89.007812 1650193007.4350
MEM 89.644531 1650193007.5430
MEM 89.644531 1650193007.6530
MEM 89.445312 1650193007.7610
MEM 89.757812 1650193007.8700
MEM 89.937500 1650193007.9780
MEM 89.937500 1650193008.0880
MEM 89.257812 1650193008.1970
MEM 88.710938 1650193008.3040
MEM 88.828125 1650193008.4110
MEM 88.992188 1650193008.5200
MEM 88.992188 1650193008.6280
MEM 88.832031 1650193008.7370
MEM 89.882812 1650193008.8440
MEM 89.621094 1650193008.9530
MEM 89.621094 1650193009.0620
MEM 89.507812 1650193009.1700
MEM 89.972656 1650193009.2780
MEM 89.972656 1650193009.3860
MEM 103.304688 1650193009.4940
MEM 88.230469 1650193009.6020
MEM 88.828125 1650193009.7090
MEM 89.011719 1650193009.8170
MEM 89.011719 1650193009.9250
MEM 107.734375 1650193010.0330
MEM 89.007812 1650193010.1410
MEM 89.257812 1650193010.2480
MEM 89.625000 1650193010.3590
MEM 89.625000 1650193010.4680
MEM 89.757812 1650193010.5770
MEM 89.941406 1650193010.6830
MEM 89.941406 1650193010.7930
MEM 96.585938 1650193010.9030
MEM 88.710938 1650193011.0130
MEM 88.828125 1650193011.1200
MEM 88.996094 1650193011.2300
MEM 88.996094 1650193011.3380
MEM 88.832031 1650193011.4470
MEM 89.980469 1650193011.5550
MEM 89.652344 1650193011.6650
MEM 89.652344 1650193011.7720
MEM 89.507812 1650193011.8800
MEM 89.941406 1650193011.9880
MEM 89.941406 1650193012.0970
MEM 97.109375 1650193012.2050
MEM 77.941406 1650193012.3120
MEM 88.828125 1650193012.4190
MEM 88.828125 1650193012.5290
MEM 89.015625 1650193012.6370
MEM 89.015625 1650193012.7450
MEM 88.832031 1650193012.8540
MEM 89.445312 1650193012.9626
MEM 89.652344 1650193013.0703
MEM 89.652344 1650193013.1773
MEM 89.507812 1650193013.2833
MEM 89.953125 1650193013.3883
MEM 89.953125 1650193013.4933
MEM 89.953125 1650193013.5983
MEM 81.464844 1650193013.7033
MEM 88.625000 1650193013.8093
MEM 88.828125 1650193013.9153
MEM 88.984375 1650193014.0203
MEM 88.984375 1650193014.1293
MEM 88.828125 1650193014.2363
MEM 89.007812 1650193014.3433
MEM 89.621094 1650193014.4513
MEM 89.621094 1650193014.5583
MEM 89.621094 1650193014.6653
MEM 89.757812 1650193014.7723
MEM 89.914062 1650193014.8793
MEM 89.914062 1650193014.9863
MEM 96.585938 1650193015.0943
MEM 88.445312 1650193015.2023
MEM 88.828125 1650193015.3083
MEM 88.988281 1650193015.4153
MEM 88.988281 1650193015.5223
MEM 88.828125 1650193015.6313
MEM 89.007812 1650193015.7403
MEM 89.609375 1650193015.8473
MEM 89.609375 1650193015.9543
MEM 89.445312 1650193016.0623
MEM 89.757812 1650193016.1693
MEM 89.929688 1650193016.2763
MEM 89.929688 1650193016.3843
MEM 89.257812 1650193016.4913
MEM 88.710938 1650193016.6013
MEM 88.828125 1650193016.7073
MEM 89.015625 1650193016.8153
MEM 89.015625 1650193016.9223
MEM 88.828125 1650193017.0313
MEM 89.445312 1650193017.1373
MEM 89.609375 1650193017.2433
MEM 89.609375 1650193017.3513
MEM 89.507812 1650193017.4583
MEM 89.957031 1650193017.5663
MEM 89.957031 1650193017.6743
MEM 89.957031 1650193017.7823
MEM 61.535156 1650193017.8893
MEM 88.710938 1650193017.9953
MEM 88.828125 1650193018.1013
MEM 89.003906 1650193018.2074
MEM 89.003906 1650193018.3142
