CMDLINE python mtest_dates_matplotlib.py
MEM 1.488281 1650193187.3116
MEM 17.890625 1650193187.4206
MEM 28.000000 1650193187.5266
MEM 34.851562 1650193187.6326
MEM 44.085938 1650193187.7396
MEM 58.289062 1650193187.8446
MEM 68.007812 1650193187.9516
MEM 87.910156 1650193188.0576
MEM 118.320312 1650193188.1636
MEM 228.890625 1650193188.2716
MEM 228.980469 1650193188.3776
MEM 228.980469 1650193188.4826
MEM 228.980469 1650193188.5886
MEM 228.980469 1650193188.6956
MEM 229.136719 1650193188.8026
MEM 229.359375 1650193188.9096
MEM 229.359375 1650193189.0166
MEM 229.359375 1650193189.1216
MEM 229.359375 1650193189.2276
MEM 229.359375 1650193189.3346
MEM 237.625000 1650193189.4416
MEM 230.386719 1650193189.5476
MEM 230.386719 1650193189.6546
MEM 230.386719 1650193189.7616
MEM 230.386719 1650193189.8686
MEM 230.386719 1650193189.9746
MEM 230.386719 1650193190.0816
MEM 230.386719 1650193190.1876
MEM 230.386719 1650193190.2946
MEM 230.386719 1650193190.4016
MEM 230.386719 1650193190.5096
MEM 230.386719 1650193190.6166
MEM 231.562500 1650193190.7256
MEM 287.082031 1650193190.8336
MEM 372.511719 1650193190.9406
MEM 372.511719 1650193191.0486
MEM 372.511719 1650193191.1576
MEM 372.511719 1650193191.2666
MEM 372.519531 1650193191.3756
MEM 372.796875 1650193191.4836
MEM 372.796875 1650193191.5936
MEM 372.796875 1650193191.7026
MEM 372.796875 1650193191.8126
MEM 372.796875 1650193191.9216
MEM 380.359375 1650193192.0306
MEM 373.109375 1650193192.1396
MEM 373.109375 1650193192.2486
MEM 373.109375 1650193192.3566
MEM 373.109375 1650193192.4636
MEM 373.109375 1650193192.5726
MEM 373.109375 1650193192.6796
MEM 373.109375 1650193192.7866
MEM 373.109375 1650193192.8946
MEM 373.109375 1650193193.0016
MEM 373.109375 1650193193.1096
MEM 373.109375 1650193193.2166
MEM 375.042969 1650193193.3236
MEM 448.121094 1650193193.4296
MEM 513.746094 1650193193.5356
MEM 513.746094 1650193193.6426
MEM 513.746094 1650193193.7486
MEM 513.746094 1650193193.8556
MEM 513.960938 1650193193.9626
MEM 513.960938 1650193194.0696
MEM 513.960938 1650193194.1756
MEM 513.960938 1650193194.2826
MEM 513.960938 1650193194.3886
MEM 513.960938 1650193194.4956
MEM 514.339844 1650193194.6016
MEM 514.339844 1650193194.7096
MEM 514.339844 1650193194.8166
MEM 514.339844 1650193194.9226
MEM 514.339844 1650193195.0286
MEM 514.339844 1650193195.1336
MEM 514.339844 1650193195.2396
MEM 514.339844 1650193195.3456
MEM 514.339844 1650193195.4536
MEM 514.339844 1650193195.5606
MEM 514.339844 1650193195.6666
MEM 516.136719 1650193195.7756
MEM 584.589844 1650193195.8826
MEM 654.308594 1650193195.9906
MEM 654.308594 1650193196.0976
MEM 654.308594 1650193196.2046
MEM 654.308594 1650193196.3126
MEM 654.308594 1650193196.4216
MEM 626.675781 1650193196.5306
MEM 656.433594 1650193196.6386
MEM 656.433594 1650193196.7456
MEM 656.433594 1650193196.8516
MEM 656.433594 1650193196.9606
MEM 664.121094 1650193197.0676
MEM 656.871094 1650193197.1746
MEM 656.871094 1650193197.2796
MEM 656.871094 1650193197.3866
MEM 656.871094 1650193197.4936
MEM 656.871094 1650193197.5996
MEM 656.871094 1650193197.7066
MEM 656.871094 1650193197.8136
MEM 656.871094 1650193197.9196
MEM 656.871094 1650193198.0276
MEM 656.871094 1650193198.1356
MEM 657.679688 1650193198.2449
MEM 690.945312 1650193198.3524
MEM 797.714844 1650193198.4604
MEM 797.714844 1650193198.5694
MEM 797.714844 1650193198.6754
MEM 797.714844 1650193198.7824
MEM 797.714844 1650193198.8904
MEM 797.898438 1650193198.9964
MEM 797.898438 1650193199.1044
MEM 797.898438 1650193199.2124
MEM 797.898438 1650193199.3194
MEM 797.898438 1650193199.4274
MEM 805.554688 1650193199.5364
MEM 798.335938 1650193199.6454
MEM 798.335938 1650193199.7534
MEM 798.335938 1650193199.8594
MEM 798.335938 1650193199.9664
MEM 798.335938 1650193200.0754
MEM 798.335938 1650193200.1824
MEM 798.335938 1650193200.2904
MEM 798.335938 1650193200.3984
MEM 798.335938 1650193200.5064
MEM 798.335938 1650193200.6124
MEM 798.335938 1650193200.7204
MEM 806.910156 1650193200.8274
MEM 894.792969 1650193200.9344
MEM 938.128906 1650193201.0414
MEM 938.128906 1650193201.1494
MEM 938.128906 1650193201.2584
MEM 938.128906 1650193201.3674
MEM 938.136719 1650193201.4764
MEM 938.320312 1650193201.5824
MEM 938.320312 1650193201.6884
MEM 938.320312 1650193201.7964
MEM 938.320312 1650193201.9034
MEM 938.320312 1650193202.0114
MEM 946.058594 1650193202.1174
MEM 938.761719 1650193202.2264
MEM 938.761719 1650193202.3324
MEM 938.761719 1650193202.4404
MEM 938.761719 1650193202.5484
MEM 938.761719 1650193202.6554
MEM 938.761719 1650193202.7624
MEM 938.761719 1650193202.8714
MEM 938.761719 1650193202.9774
MEM 938.761719 1650193203.0844
MEM 938.761719 1650193203.1914
MEM 938.761719 1650193203.2994
MEM 940.414062 1650193203.4054
MEM 1004.191406 1650193203.5144
MEM 1079.191406 1650193203.6224
MEM 1079.191406 1650193203.7294
MEM 1079.191406 1650193203.8354
MEM 1079.191406 1650193203.9444
MEM 1079.191406 1650193204.0534
MEM 1079.347656 1650193204.1614
MEM 1079.347656 1650193204.2674
MEM 1079.347656 1650193204.3764
MEM 1079.347656 1650193204.4844
MEM 1079.347656 1650193204.5904
MEM 1079.347656 1650193204.6984
MEM 1079.781250 1650193204.8074
MEM 1079.781250 1650193204.9154
MEM 1079.781250 1650193205.0225
MEM 1079.781250 1650193205.1306
MEM 1079.781250 1650193205.2386
MEM 1079.781250 1650193205.3466
MEM 1079.781250 1650193205.4546
MEM 1079.781250 1650193205.5646
MEM 1079.781250 1650193205.6737
MEM 1079.781250 1650193205.7816
MEM 1079.781250 1650193205.8906
MEM 1079.781250 1650193205.9996
MEM 1089.644531 1650193206.1086
MEM 1195.273438 1650193206.2186
MEM 1219.558594 1650193206.3267
MEM 1219.558594 1650193206.4356
MEM 1219.558594 1650193206.5457
MEM 1219.558594 1650193206.6547
MEM 1219.746094 1650193206.7637
MEM 1220.742188 1650193206.8716
MEM 1220.742188 1650193206.9816
MEM 1220.742188 1650193207.0896
MEM 1220.742188 1650193207.1986
MEM 1220.742188 1650193207.3077
MEM 1228.425781 1650193207.4156
MEM 1221.179688 1650193207.5246
MEM 1221.179688 1650193207.6346
MEM 1221.179688 1650193207.7416
MEM 1221.179688 1650193207.8516
MEM 1221.179688 1650193207.9606
MEM 1221.179688 1650193208.0696
MEM 1221.179688 1650193208.1776
MEM 1221.179688 1650193208.2876
MEM 1221.179688 1650193208.3976
MEM 1221.179688 1650193208.5037
MEM 1221.179688 1650193208.6156
MEM 1223.070312 1650193208.7256
MEM 1313.234375 1650193208.8357
MEM 1360.800781 1650193208.9457
MEM 1360.800781 1650193209.0556
MEM 1360.800781 1650193209.1646
MEM 1360.800781 1650193209.2756
MEM 1360.800781 1650193209.3866
MEM 1360.953125 1650193209.4977
MEM 1360.953125 1650193209.6086
MEM 1360.953125 1650193209.7196
MEM 1360.953125 1650193209.8306
MEM 1360.953125 1650193209.9396
MEM 1368.687500 1650193210.0507
MEM 1361.390625 1650193210.1607
MEM 1361.390625 1650193210.2716
MEM 1361.390625 1650193210.3816
MEM 1361.390625 1650193210.4916
MEM 1361.390625 1650193210.6026
MEM 1361.390625 1650193210.7127
MEM 1361.390625 1650193210.8237
MEM 1361.390625 1650193210.9337
MEM 1361.390625 1650193211.0447
MEM 1361.390625 1650193211.1566
MEM 1362.156250 1650193211.2656
MEM 931.914062 1650193211.3766
MEM 398.750000 1650193211.4866
MEM 107.277344 1650193211.5957
MEM 190.003906 1650193211.7056
MEM 241.363281 1650193211.8176
MEM 241.363281 1650193211.9286
MEM 241.363281 1650193212.0386
MEM 241.363281 1650193212.1496
MEM 241.363281 1650193212.2586
MEM 236.628906 1650193212.3676
MEM 242.320312 1650193212.4756
MEM 242.320312 1650193212.5856
MEM 242.320312 1650193212.6956
MEM 242.320312 1650193212.8057
MEM 249.925781 1650193212.9156
MEM 242.753906 1650193213.0247
MEM 242.753906 1650193213.1326
MEM 242.753906 1650193213.2426
MEM 242.753906 1650193213.3506
MEM 242.753906 1650193213.4597
MEM 242.753906 1650193213.5696
MEM 242.753906 1650193213.6786
MEM 242.753906 1650193213.7876
MEM 242.753906 1650193213.8956
MEM 242.753906 1650193214.0067
MEM 242.753906 1650193214.1146
MEM 242.996094 1650193214.2227
MEM 262.753906 1650193214.3326
MEM 381.812500 1650193214.4416
MEM 381.812500 1650193214.5496
MEM 381.812500 1650193214.6576
MEM 381.812500 1650193214.7667
MEM 381.812500 1650193214.8747
MEM 381.992188 1650193214.9826
MEM 381.992188 1650193215.0916
MEM 381.992188 1650193215.2006
MEM 381.992188 1650193215.3106
MEM 381.992188 1650193215.4206
MEM 381.992188 1650193215.5297
MEM 382.425781 1650193215.6406
MEM 382.433594 1650193215.7486
MEM 382.433594 1650193215.8586
MEM 382.433594 1650193215.9666
MEM 382.433594 1650193216.0746
MEM 382.433594 1650193216.1837
MEM 382.433594 1650193216.2916
MEM 382.433594 1650193216.4006
MEM 382.433594 1650193216.5066
MEM 382.433594 1650193216.6157
MEM 382.433594 1650193216.7237
MEM 382.433594 1650193216.8306
MEM 390.691406 1650193216.9396
MEM 492.968750 1650193217.0467
MEM 520.871094 1650193217.1556
MEM 520.871094 1650193217.2646
MEM 520.871094 1650193217.3726
MEM 520.871094 1650193217.4786
MEM 521.023438 1650193217.5847
MEM 521.789062 1650193217.6917
MEM 521.789062 1650193217.7986
MEM 521.789062 1650193217.9076
