CMDLINE python mtest_simpleplots.py
MEM 90.597656 1650175684.8221
MEM 83.269531 1650175684.9321
MEM 56.875000 1650175685.0431
MEM 99.679688 1650175685.1541
MEM 90.890625 1650175685.2651
MEM 90.597656 1650175685.3761
MEM 83.269531 1650175685.4861
MEM 58.718750 1650175685.5941
MEM 95.679688 1650175685.7031
MEM 83.269531 1650175685.8141
MEM 90.597656 1650175685.9241
MEM 83.269531 1650175686.0361
MEM 64.761719 1650175686.1471
MEM 101.921875 1650175686.2581
MEM 96.175781 1650175686.3681
MEM 90.597656 1650175686.4791
MEM 108.273438 1650175686.5911
MEM 90.597656 1650175686.7011
MEM 87.628906 1650175686.8121
MEM 81.355469 1650175686.9241
MEM 90.597656 1650175687.0341
MEM 110.136719 1650175687.1461
MEM 83.269531 1650175687.2571
MEM 90.472656 1650175687.3681
MEM 82.234375 1650175687.4781
MEM 90.597656 1650175687.5881
MEM 106.695312 1650175687.7001
MEM 83.269531 1650175687.8121
MEM 87.968750 1650175687.9231
MEM 82.097656 1650175688.0351
MEM 90.597656 1650175688.1461
MEM 83.355469 1650175688.2581
MEM 76.332031 1650175688.3691
MEM 101.941406 1650175688.4811
MEM 94.921875 1650175688.5921
MEM 90.597656 1650175688.7021
MEM 83.269531 1650175688.8141
MEM 64.625000 1650175688.9231
MEM 103.625000 1650175689.0341
MEM 101.726562 1650175689.1461
MEM 90.597656 1650175689.2571
MEM 88.000000 1650175689.3671
MEM 78.285156 1650175689.4781
MEM 90.597656 1650175689.5891
MEM 106.968750 1650175689.7011
MEM 90.597656 1650175689.8121
MEM 87.011719 1650175689.9221
MEM 81.550781 1650175690.0331
MEM 90.597656 1650175690.1441
MEM 83.269531 1650175690.2551
MEM 83.269531 1650175690.3661
MEM 93.105469 1650175690.4771
MEM 83.355469 1650175690.5881
MEM 90.597656 1650175690.7001
MEM 83.269531 1650175690.8111
MEM 83.269531 1650175690.9221
MEM 94.199219 1650175691.0321
MEM 83.269531 1650175691.1441
MEM 90.597656 1650175691.2551
MEM 83.269531 1650175691.3651
MEM 57.570312 1650175691.4751
MEM 97.093750 1650175691.5871
MEM 83.269531 1650175691.6981
MEM 90.597656 1650175691.8101
MEM 83.269531 1650175691.9211
MEM 56.117188 1650175692.0311
MEM 95.671875 1650175692.1411
MEM 83.269531 1650175692.2521
MEM 90.597656 1650175692.3611
MEM 83.355469 1650175692.4721
MEM 83.269531 1650175692.5831
MEM 93.500000 1650175692.6951
MEM 52.085938 1650175692.8051
