CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_simpleplots.py
MEM 100.289062 1644774049.5308
MEM 98.218750 1644774049.6419
MEM 90.246094 1644774049.7540
MEM 84.910156 1644774049.8661
MEM 74.503906 1644774049.9769
MEM 90.246094 1644774050.0890
MEM 82.917969 1644774050.2010
MEM 82.917969 1644774050.3131
MEM 91.074219 1644774050.4252
MEM 83.003906 1644774050.5363
MEM 90.246094 1644774050.6474
MEM 82.917969 1644774050.7595
MEM 82.917969 1644774050.8716
MEM 94.160156 1644774050.9837
MEM 85.339844 1644774051.0958
MEM 90.246094 1644774051.2069
MEM 83.710938 1644774051.3190
MEM 73.691406 1644774051.4311
MEM 98.414062 1644774051.5432
MEM 101.988281 1644774051.6553
MEM 90.246094 1644774051.7664
MEM 86.371094 1644774051.8785
MEM 77.992188 1644774051.9907
MEM 90.246094 1644774052.1018
MEM 111.144531 1644774052.2129
MEM 82.917969 1644774052.3250
MEM 93.808594 1644774052.4371
MEM 90.199219 1644774052.5492
MEM 90.246094 1644774052.6613
MEM 82.953125 1644774052.7734
MEM 69.601562 1644774052.8845
MEM 102.226562 1644774052.9956
MEM 101.050781 1644774053.1067
MEM 90.246094 1644774053.2188
MEM 86.574219 1644774053.3309
MEM 76.410156 1644774053.4405
MEM 90.246094 1644774053.5516
MEM 84.851562 1644774053.6637
MEM 82.917969 1644774053.7738
MEM 89.933594 1644774053.8859
MEM 82.917969 1644774053.9980
MEM 90.246094 1644774054.1101
MEM 83.003906 1644774054.2222
MEM 82.046875 1644774054.3343
MEM 102.246094 1644774054.4454
MEM 98.613281 1644774054.5555
MEM 90.246094 1644774054.6651
MEM 84.875000 1644774054.7772
MEM 68.042969 1644774054.8893
MEM 90.246094 1644774055.0014
MEM 100.792969 1644774055.1135
MEM 82.917969 1644774055.2247
MEM 91.738281 1644774055.3368
MEM 82.917969 1644774055.4479
MEM 90.246094 1644774055.5585
MEM 82.917969 1644774055.6696
MEM 55.703125 1644774055.7817
MEM 98.382812 1644774055.8928
MEM 90.406250 1644774056.0027
MEM 90.246094 1644774056.1148
MEM 83.800781 1644774056.2269
MEM 70.542969 1644774056.3380
MEM 104.589844 1644774056.4491
MEM 96.707031 1644774056.5584
MEM 90.246094 1644774056.6695
MEM 85.726562 1644774056.7806
MEM 69.187500 1644774056.8907
MEM 103.894531 1644774057.0028
MEM 104.871094 1644774057.1148
MEM 90.246094 1644774057.2259
MEM 88.929688 1644774057.3359
MEM 82.917969 1644774057.4461
MEM 90.246094 1644774057.5567
MEM 83.003906 1644774057.6668
MEM 82.917969 1644774057.7789
MEM 97.894531 1644774057.8910
MEM 93.343750 1644774058.0031
MEM 90.246094 1644774058.1145
MEM 87.664062 1644774058.2251
MEM 75.242188 1644774058.3362
MEM 90.246094 1644774058.4463
MEM 107.195312 1644774058.5554
MEM 86.375000 1644774058.6665
MEM 93.050781 1644774058.7776
MEM 51.804688 1644774058.8884
