CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_matplotlib.py
MEM 1.464844 1644774063.9714
MEM 17.941406 1644774064.0775
MEM 27.945312 1644774064.1876
MEM 35.320312 1644774064.2997
MEM 45.214844 1644774064.4118
MEM 59.777344 1644774064.5219
MEM 69.437500 1644774064.6340
MEM 104.222656 1644774064.7452
MEM 97.253906 1644774064.8563
MEM 114.207031 1644774064.9674
MEM 123.562500 1644774065.0795
MEM 124.105469 1644774065.1916
MEM 125.625000 1644774065.3026
MEM 142.027344 1644774065.4137
MEM 151.332031 1644774065.5258
MEM 151.800781 1644774065.6378
MEM 160.898438 1644774065.7499
MEM 170.023438 1644774065.8620
MEM 179.171875 1644774065.9741
MEM 172.191406 1644774066.0862
MEM 110.031250 1644774066.1980
MEM 118.242188 1644774066.3101
MEM 111.160156 1644774066.4222
MEM 127.246094 1644774066.5333
MEM 135.675781 1644774066.6454
MEM 136.527344 1644774066.7575
MEM 137.019531 1644774066.8686
MEM 153.039062 1644774066.9807
MEM 161.605469 1644774067.0928
MEM 161.765625 1644774067.2048
MEM 165.425781 1644774067.3169
MEM 179.417969 1644774067.4282
MEM 188.312500 1644774067.5403
MEM 181.207031 1644774067.6520
MEM 197.785156 1644774067.7641
MEM 102.066406 1644774067.8762
MEM 103.660156 1644774067.9883
MEM 119.386719 1644774068.1004
MEM 128.433594 1644774068.2125
MEM 128.511719 1644774068.3246
MEM 137.082031 1644774068.4367
MEM 137.167969 1644774068.5488
MEM 138.308594 1644774068.6609
MEM 154.242188 1644774068.7730
MEM 162.867188 1644774068.8851
MEM 155.757812 1644774069.0013
MEM 171.796875 1644774069.1093
MEM 180.390625 1644774069.2214
MEM 180.636719 1644774069.3330
MEM 189.382812 1644774069.4431
MEM 198.265625 1644774069.5542
MEM 191.039062 1644774069.6663
MEM 111.667969 1644774069.7784
MEM 112.812500 1644774069.8905
MEM 113.320312 1644774070.0026
MEM 128.664062 1644774070.1147
MEM 137.546875 1644774070.2268
MEM 130.343750 1644774070.3389
MEM 145.910156 1644774070.4500
MEM 154.519531 1644774070.5621
MEM 147.414062 1644774070.6735
MEM 163.527344 1644774070.7946
MEM 172.222656 1644774070.8957
MEM 172.386719 1644774071.0068
MEM 173.843750 1644774071.1189
MEM 189.796875 1644774071.2310
MEM 198.363281 1644774071.3431
MEM 191.328125 1644774071.4552
MEM 111.828125 1644774071.5673
MEM 112.613281 1644774071.6794
MEM 113.121094 1644774071.7905
MEM 128.957031 1644774071.9026
MEM 129.035156 1644774072.0147
MEM 130.156250 1644774072.1268
MEM 145.925781 1644774072.2379
MEM 146.816406 1644774072.3500
MEM 147.312500 1644774072.4621
MEM 163.406250 1644774072.5732
MEM 171.960938 1644774072.6861
MEM 172.257812 1644774072.7972
MEM 181.109375 1644774072.9123
MEM 189.785156 1644774073.0214
MEM 191.007812 1644774073.1324
MEM 191.503906 1644774073.2445
MEM 111.390625 1644774073.3539
MEM 104.292969 1644774073.4660
MEM 120.128906 1644774073.5771
MEM 128.890625 1644774073.6882
MEM 130.125000 1644774073.8003
MEM 130.320312 1644774073.9124
MEM 146.234375 1644774074.0245
MEM 154.843750 1644774074.1366
MEM 155.062500 1644774074.2487
MEM 163.847656 1644774074.3608
MEM 172.382812 1644774074.4699
MEM 180.984375 1644774074.5820
MEM 173.925781 1644774074.6941
MEM 190.078125 1644774074.8062
MEM 198.734375 1644774074.9173
MEM 191.656250 1644774075.0294
MEM 111.312500 1644774075.1405
MEM 112.121094 1644774075.2518
MEM 112.640625 1644774075.3639
MEM 128.660156 1644774075.4750
MEM 137.304688 1644774075.5871
MEM 137.507812 1644774075.6982
MEM 138.605469 1644774075.8103
MEM 154.589844 1644774075.9224
MEM 163.179688 1644774076.0345
MEM 156.113281 1644774076.1466
MEM 172.191406 1644774076.2587
MEM 180.925781 1644774076.3698
MEM 182.859375 1644774076.4819
MEM 182.519531 1644774076.5940
MEM 198.562500 1644774076.7061
MEM 103.597656 1644774076.8182
MEM 105.519531 1644774076.9303
MEM 120.968750 1644774077.0424
MEM 129.429688 1644774077.1545
MEM 122.250000 1644774077.2666
MEM 138.335938 1644774077.3787
MEM 146.648438 1644774077.4898
MEM 146.890625 1644774077.6019
MEM 155.492188 1644774077.7130
MEM 164.507812 1644774077.8251
MEM 164.597656 1644774077.9372
MEM 165.679688 1644774078.0493
MEM 181.792969 1644774078.1614
MEM 190.125000 1644774078.2735
MEM 182.984375 1644774078.3856
MEM 198.898438 1644774078.4977
MEM 104.398438 1644774078.6098
MEM 104.929688 1644774078.7209
MEM 120.789062 1644774078.8320
MEM 129.187500 1644774078.9431
MEM 129.328125 1644774079.0552
MEM 130.628906 1644774079.1673
MEM 146.367188 1644774079.2794
MEM 154.996094 1644774079.3915
MEM 155.257812 1644774079.5036
MEM 163.968750 1644774079.6151
MEM 172.550781 1644774079.7272
MEM 181.097656 1644774079.8393
MEM 174.039062 1644774079.9515
MEM 190.027344 1644774080.0626
MEM 198.820312 1644774080.1747
MEM 191.648438 1644774080.2868
MEM 112.363281 1644774080.3989
MEM 121.226562 1644774080.5103
MEM 121.449219 1644774080.6225
MEM 130.191406 1644774080.7330
MEM 88.652344 1644774080.8441
