CMDLINE python mtest_matplotlib.py
MEM 1.488281 1650175696.1587
MEM 19.085938 1650175696.2657
MEM 28.722656 1650175696.3767
MEM 38.148438 1650175696.4877
MEM 46.753906 1650175696.5987
MEM 61.468750 1650175696.7077
MEM 75.609375 1650175696.8187
MEM 94.710938 1650175696.9285
MEM 104.937500 1650175697.0395
MEM 114.417969 1650175697.1505
MEM 115.972656 1650175697.2605
MEM 116.511719 1650175697.3715
MEM 133.046875 1650175697.4825
MEM 142.296875 1650175697.5935
MEM 143.792969 1650175697.7045
MEM 144.445312 1650175697.8145
MEM 161.082031 1650175697.9245
MEM 170.281250 1650175698.0345
MEM 170.773438 1650175698.1446
MEM 172.433594 1650175698.2545
MEM 109.878906 1650175698.3655
MEM 110.121094 1650175698.4775
MEM 113.843750 1650175698.5885
MEM 127.289062 1650175698.6985
MEM 135.582031 1650175698.8085
MEM 135.746094 1650175698.9195
MEM 144.640625 1650175699.0305
MEM 153.371094 1650175699.1415
MEM 162.089844 1650175699.2525
MEM 155.007812 1650175699.3635
MEM 171.113281 1650175699.4735
MEM 179.835938 1650175699.5835
MEM 180.308594 1650175699.6945
MEM 181.871094 1650175699.8045
MEM 198.480469 1650175699.9155
MEM 102.363281 1650175700.0275
MEM 107.437500 1650175700.1375
MEM 119.660156 1650175700.2485
MEM 128.066406 1650175700.3605
MEM 128.285156 1650175700.4715
MEM 137.074219 1650175700.5815
MEM 145.796875 1650175700.6925
MEM 145.878906 1650175700.8035
MEM 147.250000 1650175700.9135
MEM 163.164062 1650175701.0235
MEM 171.789062 1650175701.1345
MEM 172.023438 1650175701.2445
MEM 173.437500 1650175701.3555
MEM 189.496094 1650175701.4655
MEM 198.195312 1650175701.5765
MEM 191.125000 1650175701.6875
MEM 111.421875 1650175701.7975
MEM 119.984375 1650175701.9095
MEM 112.910156 1650175702.0195
MEM 128.394531 1650175702.1305
MEM 137.070312 1650175702.2415
MEM 129.812500 1650175702.3515
MEM 145.851562 1650175702.4625
MEM 154.503906 1650175702.5735
MEM 154.703125 1650175702.6835
MEM 156.117188 1650175702.7955
MEM 172.230469 1650175702.9065
MEM 180.781250 1650175703.0155
MEM 180.996094 1650175703.1275
MEM 182.449219 1650175703.2385
MEM 198.531250 1650175703.3495
MEM 102.820312 1650175703.4605
MEM 111.640625 1650175703.5715
MEM 120.371094 1650175703.6825
MEM 128.683594 1650175703.7935
MEM 128.894531 1650175703.9045
MEM 137.656250 1650175704.0145
MEM 146.363281 1650175704.1245
MEM 154.855469 1650175704.2355
MEM 147.753906 1650175704.3465
MEM 163.570312 1650175704.4575
MEM 172.332031 1650175704.5675
MEM 180.957031 1650175704.6795
MEM 173.851562 1650175704.7905
MEM 189.945312 1650175704.9015
MEM 198.714844 1650175705.0115
MEM 130.312500 1650175705.1225
MEM 112.593750 1650175705.2345
MEM 121.156250 1650175705.3455
MEM 121.683594 1650175705.4555
MEM 122.000000 1650175705.5665
MEM 137.988281 1650175705.6775
MEM 146.535156 1650175705.7883
MEM 139.421875 1650175705.8983
MEM 155.484375 1650175706.0093
MEM 164.222656 1650175706.1193
MEM 172.847656 1650175706.2313
MEM 165.753906 1650175706.3413
MEM 181.644531 1650175706.4523
MEM 190.207031 1650175706.5633
MEM 191.167969 1650175706.6753
MEM 191.679688 1650175706.7853
MEM 112.449219 1650175706.8953
MEM 112.726562 1650175707.0063
MEM 113.988281 1650175707.1173
MEM 129.605469 1650175707.2283
MEM 138.089844 1650175707.3403
MEM 138.292969 1650175707.4503
MEM 147.039062 1650175707.5593
MEM 155.667969 1650175707.6693
MEM 164.207031 1650175707.7803
MEM 164.429688 1650175707.8923
MEM 172.855469 1650175708.0023
MEM 181.742188 1650175708.1123
MEM 190.011719 1650175708.2233
MEM 182.925781 1650175708.3313
MEM 199.023438 1650175708.4423
MEM 103.246094 1650175708.5513
MEM 104.886719 1650175708.6623
MEM 121.476562 1650175708.7723
MEM 129.347656 1650175708.8823
MEM 129.472656 1650175708.9943
MEM 130.933594 1650175709.1053
MEM 146.906250 1650175709.2163
MEM 155.511719 1650175709.3273
MEM 155.738281 1650175709.4383
MEM 156.839844 1650175709.5473
MEM 172.949219 1650175709.6583
MEM 181.625000 1650175709.7683
MEM 180.078125 1650175709.8793
MEM 190.570312 1650175709.9893
MEM 199.417969 1650175710.1003
MEM 96.734375 1650175710.2103
MEM 113.062500 1650175710.3203
MEM 121.605469 1650175710.4313
MEM 122.460938 1650175710.5423
MEM 123.007812 1650175710.6533
MEM 139.007812 1650175710.7633
MEM 147.062500 1650175710.8753
MEM 147.214844 1650175710.9853
MEM 148.585938 1650175711.0953
MEM 164.410156 1650175711.2063
MEM 173.128906 1650175711.3173
MEM 173.226562 1650175711.4273
MEM 181.910156 1650175711.5383
MEM 190.562500 1650175711.6483
MEM 199.195312 1650175711.7603
MEM 192.101562 1650175711.8713
MEM 112.429688 1650175711.9813
MEM 121.382812 1650175712.0923
MEM 114.402344 1650175712.2033
MEM 129.761719 1650175712.3133
MEM 90.683594 1650175712.4243
