CMDLINE python mtest_simpleplots.py
MEM 1.488281 1650175360.7320
MEM 19.386719 1650175360.8450
MEM 29.207031 1650175360.9560
MEM 38.214844 1650175361.0670
MEM 46.664062 1650175361.1771
MEM 88.906250 1650175361.2881
MEM 72.820312 1650175361.3981
MEM 90.574219 1650175361.5091
MEM 90.574219 1650175361.6181
MEM 91.566406 1650175361.7271
MEM 83.332031 1650175361.8391
MEM 83.246094 1650175361.9501
MEM 90.574219 1650175362.0621
MEM 100.296875 1650175362.1731
MEM 83.617188 1650175362.2831
MEM 70.730469 1650175362.3941
MEM 90.585938 1650175362.5041
MEM 90.585938 1650175362.6151
MEM 92.332031 1650175362.7271
MEM 83.257812 1650175362.8371
MEM 83.257812 1650175362.9471
MEM 90.585938 1650175363.0571
MEM 96.398438 1650175363.1671
MEM 83.273438 1650175363.2781
MEM 64.859375 1650175363.3891
MEM 90.601562 1650175363.4991
MEM 102.910156 1650175363.6111
MEM 87.882812 1650175363.7221
MEM 74.585938 1650175363.8321
MEM 90.601562 1650175363.9421
MEM 90.601562 1650175364.0531
MEM 90.101562 1650175364.1641
MEM 83.273438 1650175364.2741
MEM 83.273438 1650175364.3851
MEM 90.601562 1650175364.4961
MEM 100.062500 1650175364.6071
MEM 84.296875 1650175364.7191
MEM 68.550781 1650175364.8301
MEM 90.601562 1650175364.9421
MEM 104.511719 1650175365.0521
MEM 88.683594 1650175365.1621
MEM 83.273438 1650175365.2731
MEM 83.273438 1650175365.3821
MEM 90.601562 1650175365.4931
MEM 97.156250 1650175365.6051
MEM 83.273438 1650175365.7151
MEM 57.550781 1650175365.8261
MEM 90.601562 1650175365.9361
MEM 100.816406 1650175366.0471
MEM 84.148438 1650175366.1581
MEM 71.468750 1650175366.2681
MEM 90.601562 1650175366.3791
MEM 90.601562 1650175366.4901
MEM 92.718750 1650175366.6011
MEM 83.359375 1650175366.7121
MEM 83.273438 1650175366.8231
MEM 90.601562 1650175366.9351
MEM 95.472656 1650175367.0451
MEM 83.273438 1650175367.1571
MEM 65.550781 1650175367.2681
MEM 90.601562 1650175367.3781
MEM 90.601562 1650175367.4901
MEM 89.640625 1650175367.6001
MEM 79.527344 1650175367.7101
MEM 83.273438 1650175367.8211
MEM 90.601562 1650175367.9311
MEM 90.871094 1650175368.0421
MEM 83.273438 1650175368.1532
MEM 83.273438 1650175368.2631
MEM 90.601562 1650175368.3731
MEM 99.308594 1650175368.4841
MEM 84.253906 1650175368.5961
MEM 66.964844 1650175368.7071
MEM 90.601562 1650175368.8191
MEM 102.515625 1650175368.9281
MEM 85.250000 1650175369.0401
MEM 72.562500 1650175369.1501
MEM 90.601562 1650175369.2611
MEM 90.601562 1650175369.3721
MEM 93.222656 1650175369.4831
MEM 83.273438 1650175369.5931
MEM 59.546875 1650175369.7041
MEM 90.601562 1650175369.8121
MEM 99.289062 1650175369.9231
MEM 83.273438 1650175370.0341
MEM 64.871094 1650175370.1461
MEM 90.601562 1650175370.2561
MEM 90.601562 1650175370.3661
MEM 88.773438 1650175370.4761
MEM 80.738281 1650175370.5871
MEM 90.601562 1650175370.6951
MEM 90.601562 1650175370.8071
MEM 87.597656 1650175370.9181
MEM 73.480469 1650175371.0381
MEM 90.601562 1650175371.1401
MEM 105.085938 1650175371.2511
MEM 89.109375 1650175371.3631
MEM 81.742188 1650175371.4731
MEM 83.273438 1650175371.5841
MEM 90.601562 1650175371.6951
MEM 95.593750 1650175371.8061
MEM 83.273438 1650175371.9171
MEM 56.273438 1650175372.0281
MEM 90.601562 1650175372.1391
MEM 103.800781 1650175372.2501
MEM 85.632812 1650175372.3591
MEM 76.570312 1650175372.4701
MEM 90.601562 1650175372.5801
MEM 90.601562 1650175372.6901
MEM 90.207031 1650175372.8001
MEM 80.382812 1650175372.9111
MEM 83.273438 1650175373.0211
MEM 90.601562 1650175373.1321
MEM 98.332031 1650175373.2421
MEM 83.273438 1650175373.3531
MEM 67.285156 1650175373.4621
MEM 90.601562 1650175373.5731
MEM 104.375000 1650175373.6831
MEM 86.996094 1650175373.7941
MEM 72.875000 1650175373.9051
MEM 90.601562 1650175374.0151
MEM 90.601562 1650175374.1261
MEM 91.265625 1650175374.2371
MEM 83.359375 1650175374.3471
MEM 83.273438 1650175374.4571
MEM 90.601562 1650175374.5691
MEM 99.039062 1650175374.6801
MEM 83.277344 1650175374.7911
MEM 65.070312 1650175374.9031
MEM 90.605469 1650175375.0131
MEM 102.226562 1650175375.1231
MEM 84.910156 1650175375.2341
MEM 73.414062 1650175375.3461
MEM 90.605469 1650175375.4561
MEM 90.605469 1650175375.5681
