CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_simpleplots.py
MEM 1.695312 1644775146.1399
MEM 17.593750 1644775146.2480
MEM 27.804688 1644775146.3581
MEM 34.433594 1644775146.4662
MEM 42.230469 1644775146.5763
MEM 45.968750 1644775146.6884
MEM 50.730469 1644775146.8005
MEM 81.679688 1644775146.9116
MEM 90.085938 1644775147.0297
MEM 101.839844 1644775147.1318
MEM 95.886719 1644775147.2589
MEM 82.882812 1644775147.3710
MEM 70.054688 1644775147.4831
MEM 90.210938 1644775147.5952
MEM 90.210938 1644775147.7073
MEM 95.578125 1644775147.8184
MEM 82.890625 1644775147.9278
MEM 62.785156 1644775148.0389
MEM 90.218750 1644775148.1510
MEM 104.589844 1644775148.2621
MEM 87.792969 1644775148.3732
MEM 75.144531 1644775148.4853
MEM 90.218750 1644775148.5974
MEM 90.218750 1644775148.7095
MEM 93.867188 1644775148.8216
MEM 82.906250 1644775148.9327
MEM 62.535156 1644775149.0449
MEM 90.234375 1644775149.1550
MEM 103.371094 1644775149.2671
MEM 86.375000 1644775149.3782
MEM 76.273438 1644775149.4873
MEM 90.234375 1644775149.5974
MEM 90.234375 1644775149.7075
MEM 90.707031 1644775149.8196
MEM 82.992188 1644775149.9297
MEM 82.906250 1644775150.0398
MEM 90.234375 1644775150.1509
MEM 99.171875 1644775150.2630
MEM 83.328125 1644775150.3731
MEM 66.074219 1644775150.4832
MEM 90.234375 1644775150.5933
MEM 99.859375 1644775150.7044
MEM 87.089844 1644775150.8155
MEM 80.613281 1644775150.9258
MEM 82.906250 1644775151.0379
MEM 90.234375 1644775151.1540
MEM 95.855469 1644775151.2621
MEM 83.175781 1644775151.3727
MEM 62.925781 1644775151.4848
MEM 90.234375 1644775151.5949
MEM 104.714844 1644775151.7070
MEM 87.656250 1644775151.8181
MEM 82.992188 1644775151.9302
MEM 82.906250 1644775152.0423
MEM 90.234375 1644775152.1534
MEM 98.472656 1644775152.2645
MEM 82.906250 1644775152.3746
MEM 57.695312 1644775152.4807
MEM 90.234375 1644775152.5898
MEM 102.042969 1644775152.6999
MEM 85.238281 1644775152.8109
MEM 77.417969 1644775152.9210
MEM 82.906250 1644775153.0321
MEM 90.234375 1644775153.1432
MEM 94.191406 1644775153.2553
MEM 82.906250 1644775153.3664
MEM 57.511719 1644775153.4765
MEM 90.234375 1644775153.5887
MEM 97.023438 1644775153.6998
MEM 88.816406 1644775153.8119
MEM 82.140625 1644775153.9230
MEM 82.906250 1644775154.0341
MEM 90.234375 1644775154.1452
MEM 94.453125 1644775154.2563
MEM 82.906250 1644775154.3672
MEM 59.328125 1644775154.4774
MEM 90.234375 1644775154.5874
MEM 90.234375 1644775154.6995
MEM 87.398438 1644775154.8106
MEM 82.515625 1644775154.9218
MEM 90.234375 1644775155.0318
MEM 86.566406 1644775155.1399
MEM 73.675781 1644775155.2480
MEM 90.234375 1644775155.3568
MEM 90.234375 1644775155.4649
MEM 88.089844 1644775155.5740
MEM 78.773438 1644775155.6845
MEM 85.089844 1644775155.7946
MEM 90.234375 1644775155.9047
MEM 92.980469 1644775156.0148
MEM 82.906250 1644775156.1259
MEM 56.476562 1644775156.2380
MEM 90.234375 1644775156.3501
MEM 90.234375 1644775156.4622
MEM 86.476562 1644775156.5726
MEM 82.429688 1644775156.6847
MEM 82.906250 1644775156.7968
MEM 90.234375 1644775156.9089
MEM 95.773438 1644775157.0200
MEM 82.906250 1644775157.1311
MEM 61.156250 1644775157.2412
MEM 90.234375 1644775157.3533
MEM 90.234375 1644775157.4633
MEM 91.722656 1644775157.5754
MEM 82.992188 1644775157.6875
MEM 82.906250 1644775157.7996
MEM 90.234375 1644775157.9117
MEM 99.125000 1644775158.0228
MEM 85.765625 1644775158.1339
MEM 66.871094 1644775158.2440
MEM 90.234375 1644775158.3551
MEM 90.234375 1644775158.4672
MEM 94.085938 1644775158.5793
MEM 82.906250 1644775158.6894
MEM 54.570312 1644775158.8005
MEM 90.234375 1644775158.9126
MEM 102.476562 1644775159.0247
MEM 87.957031 1644775159.1350
MEM 78.027344 1644775159.2461
MEM 88.335938 1644775159.3582
MEM 90.234375 1644775159.4703
MEM 96.367188 1644775159.5824
MEM 82.906250 1644775159.6945
MEM 66.214844 1644775159.8066
MEM 90.234375 1644775159.9187
MEM 90.234375 1644775160.0308
MEM 91.550781 1644775160.1419
MEM 82.992188 1644775160.2530
MEM 82.910156 1644775160.3651
MEM 90.238281 1644775160.4772
MEM 100.976562 1644775160.5888
MEM 89.433594 1644775160.6997
MEM 82.910156 1644775160.8118
MEM 82.910156 1644775160.9219
MEM 90.238281 1644775161.0330
MEM 96.210938 1644775161.1441
MEM 51.843750 1644775161.2562
