CMDLINE python mtest_matplotlib.py
MEM 1.488281 1650175324.4270
MEM 19.082031 1650175324.5370
MEM 28.714844 1650175324.6480
MEM 38.089844 1650175324.7590
MEM 45.378906 1650175324.8694
MEM 54.058594 1650175324.9808
MEM 59.855469 1650175325.0918
MEM 63.644531 1650175325.2018
MEM 66.929688 1650175325.3128
MEM 84.914062 1650175325.4238
MEM 105.343750 1650175325.5348
MEM 115.406250 1650175325.6458
MEM 108.414062 1650175325.7568
MEM 125.542969 1650175325.8678
MEM 135.722656 1650175325.9788
MEM 136.175781 1650175326.0898
MEM 145.964844 1650175326.2008
MEM 155.914062 1650175326.3118
MEM 156.496094 1650175326.4228
MEM 158.625000 1650175326.5338
MEM 175.902344 1650175326.6448
MEM 185.925781 1650175326.7558
MEM 178.906250 1650175326.8668
MEM 111.304688 1650175326.9758
MEM 112.500000 1650175327.0878
MEM 113.007812 1650175327.1978
MEM 129.535156 1650175327.3078
MEM 139.027344 1650175327.4188
MEM 139.246094 1650175327.5298
MEM 148.746094 1650175327.6398
MEM 157.933594 1650175327.7508
MEM 158.136719 1650175327.8618
MEM 160.273438 1650175327.9718
MEM 176.957031 1650175328.0818
MEM 186.152344 1650175328.1938
MEM 186.445312 1650175328.3058
MEM 196.109375 1650175328.4148
MEM 206.082031 1650175328.5268
MEM 181.652344 1650175328.6378
MEM 112.218750 1650175328.7498
MEM 121.226562 1650175328.8608
MEM 121.437500 1650175328.9708
MEM 130.800781 1650175329.0818
MEM 140.242188 1650175329.1918
MEM 140.441406 1650175329.3038
MEM 142.476562 1650175329.4148
MEM 159.113281 1650175329.5248
MEM 168.386719 1650175329.6358
MEM 161.386719 1650175329.7458
MEM 178.222656 1650175329.8578
MEM 187.503906 1650175329.9698
MEM 187.714844 1650175330.0808
MEM 190.046875 1650175330.1908
MEM 206.761719 1650175330.3008
MEM 97.847656 1650175330.4118
MEM 112.625000 1650175330.5238
MEM 121.613281 1650175330.6328
MEM 121.847656 1650175330.7448
MEM 123.789062 1650175330.8548
MEM 140.613281 1650175330.9628
MEM 144.316406 1650175331.0728
MEM 142.988281 1650175331.1838
MEM 159.695312 1650175331.2948
MEM 168.777344 1650175331.4058
MEM 168.968750 1650175331.5158
MEM 178.117188 1650175331.6268
MEM 187.578125 1650175331.7388
MEM 189.675781 1650175331.8488
MEM 190.195312 1650175331.9598
MEM 206.789062 1650175332.0708
MEM 103.375000 1650175332.1808
MEM 112.957031 1650175332.2918
MEM 122.246094 1650175332.4018
MEM 123.855469 1650175332.5128
MEM 124.363281 1650175332.6228
MEM 141.343750 1650175332.7348
MEM 150.503906 1650175332.8468
MEM 150.710938 1650175332.9569
MEM 152.500000 1650175333.0674
MEM 168.917969 1650175333.1784
MEM 178.089844 1650175333.2884
MEM 170.988281 1650175333.3994
MEM 187.714844 1650175333.5094
MEM 197.156250 1650175333.6204
MEM 197.585938 1650175333.7324
MEM 207.066406 1650175333.8434
MEM 105.027344 1650175333.9534
MEM 105.652344 1650175334.0634
MEM 122.132812 1650175334.1754
MEM 131.371094 1650175334.2874
MEM 131.570312 1650175334.3974
MEM 141.167969 1650175334.5084
MEM 150.449219 1650175334.6184
MEM 152.156250 1650175334.7294
MEM 152.429688 1650175334.8404
MEM 169.023438 1650175334.9524
MEM 178.320312 1650175335.0634
MEM 178.546875 1650175335.1734
MEM 180.617188 1650175335.2834
MEM 197.617188 1650175335.3944
MEM 206.746094 1650175335.5054
MEM 199.722656 1650175335.6164
MEM 112.757812 1650175335.7274
MEM 112.960938 1650175335.8394
MEM 114.722656 1650175335.9494
MEM 131.308594 1650175336.0604
MEM 140.730469 1650175336.1724
MEM 133.671875 1650175336.2834
MEM 150.417969 1650175336.3934
MEM 159.609375 1650175336.5034
MEM 159.777344 1650175336.6154
MEM 161.757812 1650175336.7254
MEM 178.539062 1650175336.8374
MEM 187.859375 1650175336.9484
MEM 188.062500 1650175337.0604
MEM 197.636719 1650175337.1714
MEM 207.007812 1650175337.2814
MEM 180.796875 1650175337.3924
MEM 113.414062 1650175337.5014
MEM 122.398438 1650175337.6114
MEM 122.601562 1650175337.7234
MEM 131.886719 1650175337.8334
MEM 141.363281 1650175337.9454
MEM 142.804688 1650175338.0564
MEM 143.398438 1650175338.1684
MEM 160.144531 1650175338.2794
MEM 169.363281 1650175338.3904
MEM 163.148438 1650175338.5004
MEM 178.828125 1650175338.6124
MEM 187.859375 1650175338.7234
MEM 188.414062 1650175338.8344
MEM 190.507812 1650175338.9444
MEM 207.144531 1650175339.0544
MEM 103.972656 1650175339.1654
MEM 113.394531 1650175339.2774
MEM 122.757812 1650175339.3894
MEM 123.894531 1650175339.4994
MEM 124.996094 1650175339.6094
MEM 141.984375 1650175339.7204
MEM 151.304688 1650175339.8304
MEM 151.527344 1650175339.9424
MEM 160.714844 1650175340.0534
MEM 169.796875 1650175340.1654
MEM 171.242188 1650175340.2774
MEM 171.730469 1650175340.3884
MEM 188.453125 1650175340.4994
MEM 197.988281 1650175340.6114
MEM 198.226562 1650175340.7214
MEM 207.546875 1650175340.8324
MEM 106.531250 1650175340.9434
MEM 107.078125 1650175341.0554
MEM 123.371094 1650175341.1664
MEM 132.664062 1650175341.2784
MEM 96.281250 1650175341.3904
