CMDLINE C:\Users\anatolii\AppData\Local\Programs\Python\Python39\python.exe mtest_matplotlib.py
MEM 1.464844 1644775166.0174
MEM 18.875000 1644775166.1295
MEM 28.152344 1644775166.2416
MEM 35.148438 1644775166.3517
MEM 43.488281 1644775166.4638
MEM 53.867188 1644775166.5759
MEM 59.250000 1644775166.6870
MEM 63.632812 1644775166.7991
MEM 66.546875 1644775166.9102
MEM 78.625000 1644775167.0224
MEM 83.839844 1644775167.1323
MEM 105.042969 1644775167.2454
MEM 107.390625 1644775167.3655
MEM 107.921875 1644775167.4756
MEM 125.347656 1644775167.5867
MEM 135.375000 1644775167.6988
MEM 135.761719 1644775167.8095
MEM 145.515625 1644775167.9196
MEM 155.371094 1644775168.0317
MEM 155.921875 1644775168.1421
MEM 158.238281 1644775168.2530
MEM 175.363281 1644775168.3641
MEM 126.519531 1644775168.4762
MEM 110.449219 1644775168.5883
MEM 119.410156 1644775168.7004
MEM 119.613281 1644775168.8115
MEM 129.074219 1644775168.9226
MEM 138.351562 1644775169.0347
MEM 138.519531 1644775169.1458
MEM 147.882812 1644775169.2569
MEM 157.164062 1644775169.3690
MEM 157.566406 1644775169.4811
MEM 159.585938 1644775169.5927
MEM 176.398438 1644775169.7048
MEM 186.031250 1644775169.8169
MEM 183.261719 1644775169.9290
MEM 196.078125 1644775170.0401
MEM 205.835938 1644775170.1522
MEM 198.683594 1644775170.2643
MEM 112.058594 1644775170.3734
MEM 113.851562 1644775170.4833
MEM 114.355469 1644775170.5924
MEM 130.929688 1644775170.7005
MEM 132.539062 1644775170.8086
MEM 133.039062 1644775170.9187
MEM 149.636719 1644775171.0308
MEM 158.808594 1644775171.1429
MEM 151.683594 1644775171.2540
MEM 168.640625 1644775171.3651
MEM 168.703125 1644775171.4736
MEM 170.679688 1644775171.5855
MEM 187.359375 1644775171.6966
MEM 196.460938 1644775171.8069
MEM 189.406250 1644775171.9190
MEM 206.027344 1644775172.0311
MEM 102.664062 1644775172.1432
MEM 112.210938 1644775172.2553
MEM 121.507812 1644775172.3664
MEM 121.667969 1644775172.4752
MEM 123.734375 1644775172.5863
MEM 140.394531 1644775172.6984
MEM 149.554688 1644775172.8095
MEM 142.445312 1644775172.9216
MEM 159.082031 1644775173.0327
MEM 168.632812 1644775173.1438
MEM 168.843750 1644775173.2539
MEM 178.199219 1644775173.3640
MEM 187.433594 1644775173.4741
MEM 187.609375 1644775173.5852
MEM 189.535156 1644775173.6963
MEM 206.218750 1644775173.8074
MEM 95.296875 1644775173.9185
MEM 112.046875 1644775174.0286
MEM 121.417969 1644775174.1396
MEM 121.625000 1644775174.2497
MEM 130.917969 1644775174.3608
MEM 140.226562 1644775174.4719
MEM 140.414062 1644775174.5820
MEM 142.433594 1644775174.6931
MEM 159.085938 1644775174.8052
MEM 168.339844 1644775174.9163
MEM 161.515625 1644775175.0274
MEM 178.117188 1644775175.1395
MEM 187.351562 1644775175.2489
MEM 187.578125 1644775175.3610
MEM 196.898438 1644775175.4721
MEM 206.085938 1644775175.5822
MEM 191.699219 1644775175.6924
MEM 112.546875 1644775175.8045
MEM 121.789062 1644775175.9146
MEM 114.675781 1644775176.0227
MEM 131.339844 1644775176.1318
MEM 140.574219 1644775176.2419
MEM 133.464844 1644775176.3480
MEM 150.015625 1644775176.4571
MEM 159.066406 1644775176.5632
MEM 152.121094 1644775176.6703
MEM 168.972656 1644775176.7784
MEM 178.144531 1644775176.8905
MEM 171.265625 1644775177.0406
MEM 187.808594 1644775177.1738
MEM 196.988281 1644775177.2849
MEM 197.214844 1644775177.3960
MEM 206.394531 1644775177.5181
MEM 96.066406 1644775177.6202
MEM 112.667969 1644775177.7323
MEM 121.945312 1644775177.8444
MEM 122.132812 1644775177.9565
MEM 131.433594 1644775178.0676
MEM 140.746094 1644775178.1787
MEM 140.902344 1644775178.2908
MEM 142.886719 1644775178.4005
MEM 159.488281 1644775178.5106
MEM 168.867188 1644775178.6197
MEM 161.757812 1644775178.7308
MEM 178.457031 1644775178.8429
MEM 187.695312 1644775178.9550
MEM 187.937500 1644775179.0651
MEM 197.222656 1644775179.1772
MEM 206.488281 1644775179.2893
MEM 199.343750 1644775179.4004
MEM 113.460938 1644775179.5124
MEM 122.660156 1644775179.6225
MEM 115.574219 1644775179.7336
MEM 132.230469 1644775179.8457
MEM 141.316406 1644775179.9578
MEM 141.531250 1644775180.0699
MEM 150.417969 1644775180.1820
MEM 159.656250 1644775180.2941
MEM 159.894531 1644775180.4052
MEM 162.007812 1644775180.5173
MEM 178.648438 1644775180.6284
MEM 187.933594 1644775180.7405
MEM 180.820312 1644775180.8526
MEM 197.417969 1644775180.9647
MEM 206.730469 1644775181.0768
MEM 199.687500 1644775181.1853
MEM 112.796875 1644775181.2963
MEM 113.238281 1644775181.4084
MEM 115.035156 1644775181.5203
MEM 131.597656 1644775181.6304
MEM 140.738281 1644775181.7425
MEM 133.632812 1644775181.8533
MEM 150.347656 1644775181.9643
MEM 159.515625 1644775182.0754
MEM 152.382812 1644775182.1845
MEM 169.292969 1644775182.2966
MEM 178.640625 1644775182.4067
MEM 178.859375 1644775182.5158
MEM 188.089844 1644775182.6229
MEM 197.355469 1644775182.7310
MEM 197.546875 1644775182.8381
MEM 206.832031 1644775182.9472
MEM 104.390625 1644775183.0583
MEM 106.433594 1644775183.1704
MEM 123.214844 1644775183.2815
MEM 132.398438 1644775183.3923
MEM 125.308594 1644775183.5024
MEM 141.792969 1644775183.6145
MEM 94.140625 1644775183.7256
